Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
08-Nov-09,Paris Masters,Hard,R16,3,93,(3)Djokovic d. (Q)Arnaud Clement [FRA],6-2 6-2,1.8,17.80%,6.70%,66.70%,80.00%,46.70%,2/3,01:16
08-Nov-09,Paris Masters,Hard,R32,3,30,(3)Djokovic d. Juan Monaco [ARG],6-3 7-5,1.22,6.30%,7.90%,63.50%,62.50%,56.50%,5/8,01:32
02-Nov-09,Basel,Hard,F,3,1,(2)Djokovic d. (1)Roger Federer [SUI],6-4 4-6 6-2,1.11,6.10%,7.10%,64.30%,71.40%,54.30%,1/11,02:11
02-Nov-09,Basel,Hard,SF,3,14,(2)Djokovic d. (5)Radek Stepanek [CZE],6-7(4) 7-5 6-2,1.11,6.70%,6.70%,55.20%,75.90%,59.60%,7/7,02:31
02-Nov-09,Basel,Hard,QF,3,21,(2)Djokovic d. (6)Stan Wawrinka [SUI],3-6 7-6(5) 6-2,1.26,6.00%,1.20%,60.70%,86.30%,51.50%,4/6,02:19
02-Nov-09,Basel,Hard,R16,3,59,(2)Djokovic d. Jan Hernych [CZE],6-0 6-0,2.2,8.50%,2.10%,63.80%,70.00%,64.70%,3/3,00:53
02-Nov-09,Basel,Hard,R32,3,33,(2)Djokovic d. Andreas Beck [GER],6-3 7-5,1.45,15.90%,3.20%,65.10%,80.50%,50.00%,3/4,01:27
11-Oct-09,Shanghai Masters,Hard,SF,4,8,(6)Nikolay Davydenko [RUS] d. (2)Djokovic,4-6 6-4 7-6(1),0.88,4.20%,1.70%,64.20%,64.90%,60.50%,8/9,03:03
11-Oct-09,Shanghai Masters,Hard,QF,4,10,(2)Djokovic d. (8)Gilles Simon [FRA],6-3 2-6 6-2,1.07,1.20%,6.00%,61.90%,61.50%,43.80%,4/9,02:24
11-Oct-09,Shanghai Masters,Hard,R16,4,99,(2)Djokovic d. (Q)Rainer Schuettler [GER],6-4 6-2,1.63,10.40%,6.30%,60.40%,75.90%,63.20%,0/1,01:24
11-Oct-09,Shanghai Masters,Hard,R32,4,66,(2)Djokovic d. (Q)Fabio Fognini [ITA],6-3 6-1,1.69,6.00%,2.00%,58.00%,82.80%,47.60%,3/4,01:10
05-Oct-09,Beijing,Hard,F,4,15,(2)Djokovic d. (8)Marin Cilic [CRO],6-2 7-6(4),1.2,2.70%,1.40%,67.60%,66.00%,45.80%,8/11,01:54
05-Oct-09,Beijing,Hard,SF,4,11,(2)Djokovic d. (6)Robin Soderling [SWE],6-3 6-3,1.68,12.00%,4.00%,60.00%,80.00%,60.00%,1/2,01:21
05-Oct-09,Beijing,Hard,QF,4,9,(2)Djokovic d. (5)Fernando Verdasco [ESP],6-3 1-6 6-1,1.08,3.80%,6.30%,63.70%,64.70%,48.30%,4/7,01:45
05-Oct-09,Beijing,Hard,R16,4,28,(2)Djokovic d. Viktor Troicki [SRB],6-3 6-0,1.94,2.10%,2.10%,48.90%,69.60%,75.00%,0/0,01:01
05-Oct-09,Beijing,Hard,R32,4,27,(2)Djokovic d. Victor Hanescu [ROU],6-3 7-5,1.39,16.10%,4.80%,67.70%,69.00%,50.00%,4/7,01:29
31-Aug-09,US Open,Hard,SF,4,1,(1)Roger Federer [SUI] d. (4)Djokovic,7-6(3) 7-5 7-5,0.8,5.20%,3.50%,67.80%,67.90%,54.10%,7/10,02:34
31-Aug-09,US Open,Hard,QF,4,10,(4)Djokovic d. (10)Fernando Verdasco [ESP],7-6(2) 1-6 7-5 6-2,1.13,6.50%,2.90%,67.40%,71.00%,51.10%,1/10,03:05
31-Aug-09,US Open,Hard,R16,4,16,(4)Djokovic d. (15)Radek Stepanek [CZE],6-1 6-3 6-3,1.61,6.80%,4.10%,62.20%,76.10%,57.10%,2/3,01:46
31-Aug-09,US Open,Hard,R32,4,276,(4)Djokovic d. (Q)Jesse Witten [USA],6-7(2) 6-3 7-6(2) 6-4,1.12,5.90%,5.90%,61.00%,69.90%,45.30%,5/11,03:28
31-Aug-09,US Open,Hard,R64,4,155,(4)Djokovic d. (Q)Carsten Ball [AUS],6-3 6-4 6-4,1.8,4.00%,0.00%,61.30%,76.10%,79.30%,1/2,01:49
31-Aug-09,US Open,Hard,R128,4,51,(4)Djokovic d. Ivan Ljubicic [CRO],6-3 6-1 6-3,2.3,13.60%,0.00%,78.80%,82.70%,64.30%,0/0,01:37
16-Aug-09,Cincinnati Masters,Hard,F,4,1,(1)Roger Federer [SUI] d. (4)Djokovic,6-1 7-5,0.59,3.70%,1.20%,67.90%,60.00%,34.60%,1/11,02:07
16-Aug-09,Cincinnati Masters,Hard,SF,4,3,(4)Djokovic d. (2)Rafael Nadal [ESP],6-1 6-4,1.44,9.10%,1.80%,65.50%,75.00%,57.90%,1/1,01:32
16-Aug-09,Cincinnati Masters,Hard,QF,4,9,(4)Djokovic d. (9)Gilles Simon [FRA],6-4 7-5,1.3,12.50%,4.70%,62.50%,82.50%,50.00%,2/3,01:28
