Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
18_Jul_2016,Washington,Hard,R64,67,62,Fritz d. Dudi Sela [ISR],6-4 6-3, (ch),1.11,14.90%,2.70%,54.10%,80.00%,47.10%,7-Jul,1:19
27_Jun_2016,Wimbledon,Grass,R128,65,5,(4)Stan Wawrinka [SUI] d. Fritz,7-6(4) 6-1 6-7(2) 6-4,,0.59,3.90%,1.90%,58.40%,66.70%,46.90%,12-Jul,2:23
20_Jun_2016,Nottingham,Grass,R64,63,54,Adrian Mannarino [FRA] d. Fritz,6-3 6-2,,0.42,4.00%,2.00%,60.00%,73.30%,25.00%,8-Apr,0:53
13_Jun_2016,Halle,Grass,R32,63,102,(Q)Yuichi Sugita [JPN] d. (WC)Fritz,7-6(4) 2-6 6-3,,0.94,16.00%,0.00%,62.80%,78.00%,40.00%,6-Apr,
6_Jun_2016,Stuttgart,Grass,R16,65,3,(1)Roger Federer [SUI] d. Fritz,6-4 5-7 6-4, (ch),0.87,9.50%,3.20%,54.70%,80.80%,51.20%,4-Feb,1:40
6_Jun_2016,Stuttgart,Grass,R32,65,,Fritz d. (Q)Fabrice Martin [FRA],3-6 7-6(6) 6-1,,1.57,24.10%,2.50%,60.80%,85.40%,64.50%,3-Feb,1:28
23_May_2016,Roland Garros,Clay,R128,67,47,Borna Coric [CRO] d. Fritz,6-3 6-1 6-3,,0.51,6.60%,1.90%,60.40%,56.30%,40.50%,13/20,1:44
16_May_2016,Nice,Clay,R16,72,18,(2)Gilles Simon [FRA] d. Fritz,6-4 6-4,,0.85,8.20%,6.60%,54.10%,66.70%,39.30%,6-Feb,1:24
16_May_2016,Nice,Clay,R32,72,69,Fritz d. Illya Marchenko [UKR],7-6(4) 6-4,,1.27,12.30%,1.50%,52.30%,79.40%,54.80%,3-Jan,1:31
9_May_2016,Rome Masters,Clay,Q1,73,132,Radek Stepanek [CZE] d. (9)Fritz,4-6 7-6(4) 6-1,,0.82,3.50%,3.50%,63.50%,61.60%,45.20%,12-Aug,2:16
2_May_2016,Madrid Masters,Clay,Q1,71,148,Radek Stepanek [CZE] d. (8)Fritz,3-6 6-3 6-4,,0.76,13.60%,3.90%,61.20%,69.80%,42.50%,16-Dec,1:53
4_Apr_2016,Le Gosier CH,Hard,SF,79,94,(3)Malek Jaziri [TUN] d. (2)Fritz,6-7(5) 6-4 7-5,,0.97,8.50%,4.30%,63.80%,76.70%,58.80%,4-Jan,2:10
4_Apr_2016,Le Gosier CH,Hard,QF,79,115,(2)Fritz d. (5)Tatsuma Ito [JPN],6-7(3) 6-4 6-4,,1.08,12.60%,1.10%,51.60%,69.40%,47.80%,5-Jan,2:09
4_Apr_2016,Le Gosier CH,Hard,R16,79,228,(2)Fritz d. (ALT)Gonzalo Lama [CHI],6-7(9) 6-4 7-6(10),,1.06,6.30%,2.40%,59.80%,76.30%,47.10%,7-Apr,2:43
4_Apr_2016,Le Gosier CH,Hard,R32,79,216,(2)Fritz d. Yannick Mertens [BEL],6-4 6-3,,1.47,10.50%,1.80%,59.60%,73.50%,56.50%,4-Feb,0:59
28_Mar_2016,Leon CH,Hard,R32,81,312,(Q)Agustin Velotti [ARG] d. (2)Fritz,6-7(4) 6-3 7-5,,0.89,14.70%,3.70%,57.80%,79.40%,45.70%,9-Jun,2:05
21_Mar_2016,Miami Masters,Hard,R64,81,8,(8)David Ferrer [ESP] d. (Q)Fritz,7-6(6) 6-1,,0.73,6.50%,5.40%,57.00%,64.20%,35.00%,13/16,1:47
21_Mar_2016,Miami Masters,Hard,R128,81,79,(Q)Fritz d. Simone Bolelli [ITA],6-4 6-2,,1.76,14.60%,2.10%,54.20%,76.90%,77.30%,0/0,1:10
21_Mar_2016,Miami Masters,Hard,Q2,81,422,(1)Fritz d. (WC)Alex Kuznetsov [USA],4-6 6-3 6-2,,1.43,5.70%,5.70%,54.00%,78.70%,60.00%,9-Jul,1:47
21_Mar_2016,Miami Masters,Hard,Q1,81,161,(1)Fritz d. Nicolas Kicker [ARG],6-4 6-3,,1.35,13.60%,7.60%,59.10%,76.90%,51.90%,4-Mar,1:16
7_Mar_2016,Indian Wells Masters,Hard,R128,80,177,(WC)Frances Tiafoe [USA] d. (WC)Fritz,6-3 2-6 6-3,,0.85,12.60%,5.70%,60.90%,67.90%,41.20%,11-Jul,1:36
22_Feb_2016,Acapulco,Hard,QF,102,43,Sam Querrey [USA] d. (Q)Fritz,2-6 6-4 6-4,,0.93,10.70%,5.30%,57.30%,79.10%,56.30%,3-Jan,1:28
22_Feb_2016,Acapulco,Hard,R16,102,74,(Q)Fritz d. Victor Estrella [DOM],6-1 6-3,,1.83,8.50%,2.10%,68.10%,75.00%,53.30%,0/1,1:00
22_Feb_2016,Acapulco,Hard,R32,102,30,(Q)Fritz d. (8)Jeremy Chardy [FRA],6-4 3-6 6-3,,1.37,5.20%,5.20%,48.10%,78.40%,67.50%,3-Feb,1:42
22_Feb_2016,Acapulco,Hard,Q2,102,163,(2)Fritz d. (7)Adrian Menendez Maceiras [ESP],6-3 6-2,,2.1,14.30%,2.00%,59.20%,75.90%,80.00%,1-Jan,1:11
22_Feb_2016,Acapulco,Hard,Q1,102,637,(2)Fritz d. (WC)Manuel Sanchez [MEX],6-1 6-2,,1.84,13.00%,10.90%,54.30%,84.00%,57.10%,2-Feb,1:00
15_Feb_2016,Delray Beach,Hard,R32,102,129,(WC)Tim Smyczek [USA] d. (SE)Fritz,6-3 6-3,,0.75,3.10%,4.60%,56.90%,70.30%,35.70%,6-Mar,1:13
8_Feb_2016,Memphis,Hard,F,145,7,(1)Kei Nishikori [JPN] d. (WC)Fritz,6-4 6-4, (ch),0.76,13.20%,1.50%,57.40%,71.80%,44.80%,14-Nov,1:19
8_Feb_2016,Memphis,Hard,SF,145,102,(WC)Fritz d. Ricardas Berankis [LTU],2-6 6-3 6-4, (ch),0.88,17.20%,3.00%,55.60%,70.90%,34.10%,9-Apr,1:40
8_Feb_2016,Memphis,Hard,QF,145,107,(WC)Fritz d. Benjamin Becker [GER],6-4 5-7 7-6(5),,0.93,11.00%,3.40%,57.60%,73.50%,42.00%,11-Jun,2:20
8_Feb_2016,Memphis,Hard,R16,145,29,(WC)Fritz d. (2)Steve Johnson [USA],7-6(5) 7-6(7),,0.96,6.70%,1.90%,57.10%,73.30%,51.10%,11-Sep,1:56
8_Feb_2016,Memphis,Hard,R32,145,387,(WC)Fritz d. (Q)Michael Mmoh [USA],6-3 6-4,,1.27,15.60%,3.10%,57.80%,75.70%,63.00%,3-Mar,1:12
25_Jan_2016,Lahaina CH,Hard,R16,155,129,(3)James Duckworth [AUS] d. Fritz,6-3 7-6(5),,0.84,16.70%,4.50%,54.50%,72.20%,53.30%,0/2,1:18
25_Jan_2016,Lahaina CH,Hard,R32,155,241,Fritz d. Denys Molchanov [UKR],6-2 6-4,,1.51,16.10%,1.80%,62.50%,80.00%,57.10%,2-Feb,1:14
