Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
29_Apr_2019,Ostrava CH,Clay,R16,298,,Sinner d. (WC)Jiri Lehecka [CZE],6-4 6-2,,1.28,5.90%,7.40%,55.90%,73.70%,40.00%,8-Jun,1:11
29_Apr_2019,Ostrava CH,Clay,R32,298,181,Sinner d. (9)Dominik Koepfer [GER],6-2 6-3,,1.52,3.80%,0.00%,52.80%,75.00%,48.00%,8-Jun,1:10
29_Apr_2019,Ostrava CH,Clay,R64,298,219,Sinner d. Attila Balazs [HUN],6-4 7-6(6),,1.2,0.00%,2.60%,51.90%,67.50%,48.60%,9-May,1:53
22_Apr_2019,Budapest,Clay,R16,314,33,(5)Laslo Djere [SRB] d. (LL)Sinner,6-3 6-1,,0.74,1.40%,1.40%,54.30%,52.60%,50.00%,9-May,1:30
22_Apr_2019,Budapest,Clay,R32,314,323,(LL)Sinner d. (WC)Mate Valkusz [HUN],6-2 0-6 6-4,,0.98,1.50%,2.90%,52.90%,66.70%,31.30%,8-Feb,1:43
22_Apr_2019,Budapest,Clay,Q2,314,109,(4)Yannick Maden [GER] d. (WC)Sinner,6-3 6-4,,0.83,3.50%,1.80%,47.40%,63.00%,46.70%,6-Mar,1:35
22_Apr_2019,Budapest,Clay,Q1,314,139,(WC)Sinner d. (7)Lukas Rosol [CZE],6-2 3-0 RET,,1.93,8.60%,2.90%,51.40%,83.30%,58.80%,1-Jan,0:42
8_Apr_2019,Barletta CH,Clay,R32,316,180,(7)Andrea Arnaboldi [ITA] d. Sinner,7-5 6-3,,0.8,1.90%,3.70%,64.80%,60.00%,47.40%,6-Feb,1:24
8_Apr_2019,Barletta CH,Clay,R64,316,243,Sinner d. Gian Marco Moroni [ITA],0-6 6-4 6-1,,1.08,4.30%,1.40%,58.00%,62.50%,51.70%,6-Feb,2:02
1_Apr_2019,Villena CH,Clay,R64,319,,(WC)Carlos Alcaraz [ESP] d. (WC)Sinner,6-2 3-6 6-3, (ch),0.86,2.40%,6.00%,54.20%,57.80%,36.80%,9-Feb,1:50
25_Mar_2019,M25 Santa Margherita Di Pula,Clay,F,322,345,Sinner d. (2)Andrea Pellegrino [ITA],6-1 6-1,,,,,,,,,
25_Mar_2019,M25 Santa Margherita Di Pula,Clay,SF,322,445,Sinner d. (5)Fabrizio Ornago [ITA],6-4 7-5,,,,,,,,,
25_Mar_2019,M25 Santa Margherita Di Pula,Clay,QF,322,,Sinner d. (IR )Ronald Slobodchikov [RUS],7-6(1) 4-0 RET,,,,,,,,,
25_Mar_2019,M25 Santa Margherita Di Pula,Clay,R16,322,619,Sinner d. Laurent Lokoli [FRA],6-2 6-2,,,,,,,,,
25_Mar_2019,M25 Santa Margherita Di Pula,Clay,R32,322,,Sinner d. (Q)Florent Bax [FRA],6-7(4) 6-4 6-0,,,,,,,,,
25_Feb_2019,M25 Trento,Hard,F,324,387,(WC)Sinner d. (5)Jeremy Jahn [GER],6-3 6-4,,,,,,,,,
25_Feb_2019,M25 Trento,Hard,SF,324,,(WC)Sinner d. (IR )Elmar Ejupovic [BIH],7-5 6-3,,,,,,,,,
25_Feb_2019,M25 Trento,Hard,QF,324,445,(WC)Sinner d. Antoine Cornut Chauvinc [FRA],6-0 7-6(6),,,,,,,,,
25_Feb_2019,M25 Trento,Hard,R16,324,505,(WC)Sinner d. Jules Okala [FRA],6-4 6-4,,,,,,,,,
25_Feb_2019,M25 Trento,Hard,R32,324,432,(WC)Sinner d. Albano Olivetti [FRA],7-6(7) 3-6 7-6(4),,,,,,,,,
18_Feb_2019,Bergamo CH,Hard,F,546,250,(WC)Sinner d. Roberto Marcora [ITA],6-3 6-1, (ch),1.58,6.10%,0.00%,55.10%,81.50%,54.50%,0/0,1:11
18_Feb_2019,Bergamo CH,Hard,SF,546,301,(WC)Sinner d. Tristan Lamasine [FRA],6-2 6-3,,1.69,6.50%,2.20%,45.70%,76.20%,56.00%,5-Mar,1:11
18_Feb_2019,Bergamo CH,Hard,QF,546,151,(WC)Sinner d. (4)Gianluigi Quinzi [ITA],6-2 6-3, (ch),1.7,8.00%,4.00%,52.00%,80.80%,50.00%,3-Jan,1:12
18_Feb_2019,Bergamo CH,Hard,R16,546,224,(WC)Sinner d. Viktor Galovic [ITA],7-5 1-6 6-4,,1.04,2.70%,2.70%,52.00%,69.20%,47.20%,10-May,1:54
18_Feb_2019,Bergamo CH,Hard,R32,546,172,(WC)Sinner d. (9)Salvatore Caruso [ITA],6-2 2-6 6-2,,1.19,8.80%,6.30%,60.00%,72.90%,43.80%,5-Feb,2:09
18_Feb_2019,Bergamo CH,Hard,R64,546,277,(WC)Sinner d. Lucas Miedler [AUT],7-6(3) 6-1,,1.64,12.70%,0.00%,58.70%,75.70%,73.10%,1-Jan,1:20
11_Feb_2019,M25 Aktobe,Hard,SF,549,,Niels Lootsma [NED] d. Sinner,3-6 6-3 7-5,,,,,,,,,
11_Feb_2019,M25 Aktobe,Hard,QF,549,,Sinner d. (Q)Timur Kiyamov [RUS],6-4 2-6 6-3,,,,,,,,,
11_Feb_2019,M25 Aktobe,Hard,R16,549,546,Sinner d. Artem Dubrivnyy [RUS],6-1 6-3,,,,,,,,,
11_Feb_2019,M25 Aktobe,Hard,R32,549,,Sinner d. (Q)Aliaksandr Liaonenka [BLR],6-2 6-2,,,,,,,,,
28_Jan_2019,M15 Monastir,Hard,R16,550,492,(6)Evan Hoyt [GBR] d. Sinner,6-3 6-4,,,,,,,,,
28_Jan_2019,M15 Monastir,Hard,R32,550,,Sinner d. Luke Johnson [GBR],3-6 6-3 7-5,,,,,,,,,
21_Jan_2019,M15 Monastir,Hard,R32,549,,(Q)Luis Faria [BRA] d. Sinner,6-3 2-6 6-4,,,,,,,,,
19_Nov_2018,Andria CH,Hard,R32,762,887,(Q)Illya Marchenko [UKR] d. (WC)Sinner,4-6 6-2 6-4,,0.72,4.50%,4.50%,48.90%,72.10%,44.40%,10-Jun,1:54
22_Oct_2018,Tunisia F37,Hard,QF,785,556,(2)Aziz Dougaz [TUN] d. Sinner,W/O,,,,,,,,,
22_Oct_2018,Tunisia F37,Hard,R16,785,812,Sinner d. David Pichler [AUT],6-1 6-2,,,,,,,,,
22_Oct_2018,Tunisia F37,Hard,R32,785,990,Sinner d. Skander Mansouri [TUN],2-6 6-4 6-2,,,,,,,,,
8_Oct_2018,Ortisei CH,Hard,R16,870,156,Constant Lestienne [FRA] d. (WC)Sinner,6-7(6) 7-5 7-5,,0.6,9.30%,3.10%,58.90%,72.40%,56.60%,9-Jul,2:13
8_Oct_2018,Ortisei CH,Hard,R32,870,647,(WC)Sinner d. (WC)Luca Giacomini [ITA],7-6(4) 6-1,,1.95,15.10%,1.90%,66.00%,88.60%,55.60%,2-Jan,1:02
17_Sep_2018,Biella CH,Clay,Q1,879,398,(8)Oscar Jose Gutierrez [BRA] d. (WC)Sinner,4-6 6-4 7-6(5),,0.99,2.70%,5.30%,59.30%,62.70%,39.10%,18-Nov,2:31
10_Sep_2018,Italy F27,Clay,R16,882,431,Samuel Bensoussan [FRA] d. Sinner,3-6 7-6(6) 6-0,,,,,,,,,
