Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
8_Jun_2009,Queen's Club,Grass,R16,3,52,(1)Murray d. (16)Guillermo Garcia Lopez [ESP],6-4 6-4,,1.57,17.60%,0.00%,52.90%,88.90%,66.70%,0/0,1:10
8_Jun_2009,Queen's Club,Grass,R32,3,48,(1)Murray d. Andreas Seppi [ITA],6-1 6-4,,1.89,4.70%,2.30%,60.50%,73.10%,70.60%,0/1,0:59
25_May_2009,Roland Garros,Clay,QF,3,12,(12)Fernando Gonzalez [CHI] d. (3)Murray,6-3 3-6 6-0 6-4, (ch),0.72,2.90%,1.90%,71.80%,59.50%,48.30%,12-Jun,2:15
25_May_2009,Roland Garros,Clay,R16,3,13,(3)Murray d. (13)Marin Cilic [CRO],7-5 7-6(4) 6-1,,1.26,9.40%,0.90%,52.80%,75.00%,52.00%,4-Jan,2:31
25_May_2009,Roland Garros,Clay,R32,3,64,(3)Murray d. Janko Tipsarevic [SRB],7-6(3) 6-3 RET,,1.28,8.70%,0.00%,50.70%,71.40%,50.00%,6-Feb,1:51
25_May_2009,Roland Garros,Clay,R64,3,104,(3)Murray d. Potito Starace [ITA],6-3 2-6 7-5 6-4,,1.12,6.80%,0.00%,63.60%,76.00%,44.20%,13-Sep,2:40
25_May_2009,Roland Garros,Clay,R128,3,183,(3)Murray d. Juan Ignacio Chela [ARG],6-2 6-2 6-1,,1.65,11.90%,3.60%,57.10%,70.80%,55.60%,10-Aug,1:43
10_May_2009,Madrid Masters,Clay,QF,3,5,(5)Juan Martin Del Potro [ARG] d. (4)Murray,7-6(4) 6-3,,0.82,17.70%,1.60%,58.10%,66.70%,57.70%,4-Feb,1:52
10_May_2009,Madrid Masters,Clay,R16,3,17,(4)Murray d. (16)Tommy Robredo [ESP],7-5 6-1,,1.52,0.00%,3.30%,65.00%,74.40%,61.90%,2-Feb,1:44
10_May_2009,Madrid Masters,Clay,R32,3,61,(4)Murray d. Simone Bolelli [ITA],7-6(9) 6-4,,1.17,5.20%,2.60%,49.40%,76.30%,64.10%,4-Apr,2:08
27_Apr_2009,Rome Masters,Clay,R32,4,58,(Q)Juan Monaco [ARG] d. (4)Murray,1-6 6-3 7-5,,1.04,3.30%,2.20%,59.80%,63.60%,40.50%,14-Aug,2:40
12_Apr_2009,Monte Carlo Masters,Clay,SF,4,1,(1)Rafael Nadal [ESP] d. (4)Murray,6-2 7-6(4), (ch),0.76,1.40%,0.00%,50.00%,64.90%,37.80%,9-May,2:09
12_Apr_2009,Monte Carlo Masters,Clay,QF,4,9,(4)Murray d. (8)Nikolay Davydenko [RUS],7-6(1) 6-4,,1.12,4.80%,2.40%,51.20%,67.40%,48.80%,9-Jun,2:09
12_Apr_2009,Monte Carlo Masters,Clay,R16,4,108,(4)Murray d. (Q)Fabio Fognini [ITA],7-6(11) 6-4,,1.15,3.60%,1.20%,69.90%,62.10%,56.00%,9-Jun,2:02
12_Apr_2009,Monte Carlo Masters,Clay,R32,4,35,(4)Murray d. Victor Hanescu [ROU],6-3 6-2,,1.44,3.20%,1.60%,61.30%,73.70%,41.70%,6-Apr,1:26
25_Mar_2009,Miami Masters,Hard,F,4,3,(4)Murray d. (3)Novak Djokovic [SRB],6-2 7-5, (ch),1.47,13.10%,0.00%,59.00%,75.00%,52.00%,5-Mar,1:43
25_Mar_2009,Miami Masters,Hard,SF,4,7,(4)Murray d. (6)Juan Martin Del Potro [ARG],6-1 5-7 6-2, (ch),1.45,8.10%,4.10%,64.90%,72.90%,65.40%,0/2,2:17
25_Mar_2009,Miami Masters,Hard,QF,4,9,(4)Murray d. (8)Fernando Verdasco [ESP],6-1 6-2,,1.43,5.50%,5.50%,54.50%,66.70%,56.00%,8-Jul,1:16
25_Mar_2009,Miami Masters,Hard,R16,4,41,(4)Murray d. Viktor Troicki [SRB],6-1 6-0,,2.17,4.90%,7.30%,70.70%,82.80%,50.00%,0/0,0:58
25_Mar_2009,Miami Masters,Hard,R32,4,91,(4)Murray d. Nicolas Massu [CHI],6-4 6-4,,1.3,6.30%,7.90%,58.70%,67.60%,50.00%,8-May,1:47
25_Mar_2009,Miami Masters,Hard,R64,4,59,(4)Murray d. Juan Monaco [ARG],4-6 6-3 6-2,,1.1,9.10%,4.00%,68.70%,60.30%,54.80%,12-Sep,2:15
12_Mar_2009,Indian Wells Masters,Hard,F,4,1,(1)Rafael Nadal [ESP] d. (4)Murray,6-1 6-2, (ch),0.51,0.00%,0.00%,68.00%,55.90%,37.50%,5-Jan,1:21
12_Mar_2009,Indian Wells Masters,Hard,SF,4,2,(4)Murray d. (2)Roger Federer [SUI],6-3 4-6 6-1, (ch),1.27,7.30%,3.70%,59.80%,71.40%,57.60%,10-Aug,1:48
12_Mar_2009,Indian Wells Masters,Hard,QF,4,74,(4)Murray d. Ivan Ljubicic [CRO],7-5 7-6(6),,1.11,7.60%,2.50%,65.80%,78.80%,44.40%,6-Apr,2:06
12_Mar_2009,Indian Wells Masters,Hard,R16,4,15,(4)Murray d. (15)Tommy Robredo [ESP],6-2 3-0 RET,,1.72,0.00%,7.70%,59.00%,78.30%,43.80%,4-Mar,0:50
12_Mar_2009,Indian Wells Masters,Hard,R32,4,33,(4)Murray d. (32)Paul Henri Mathieu [FRA],6-3 6-2,,1.61,12.50%,6.30%,52.10%,84.00%,47.80%,4-Mar,1:17
12_Mar_2009,Indian Wells Masters,Hard,R64,4,35,(4)Murray d. Albert Montanes [ESP],7-5 6-3,,1.27,10.40%,3.90%,54.50%,69.00%,60.00%,6-May,1:36
23_Feb_2009,Dubai,Hard,QF,4,26,Richard Gasquet [FRA] d. (2)Murray,W/O,,,,,,,,,
23_Feb_2009,Dubai,Hard,R16,4,73,(2)Murray d. Arnaud Clement [FRA],6-2 6-3,,1.51,14.80%,0.00%,70.40%,78.90%,43.80%,3-Mar,1:24
23_Feb_2009,Dubai,Hard,R32,4,75,(2)Murray d. Sergiy Stakhovsky [UKR],6-7(3) 6-3 5-3 RET,,1.33,6.00%,4.80%,63.10%,79.20%,48.40%,0/3,2:03
9_Feb_2009,Rotterdam,Hard,F,4,1,(2)Murray d. (1)Rafael Nadal [ESP],6-3 4-6 6-0, (ch),1.38,14.90%,5.40%,48.60%,80.60%,39.50%,7-Mar,1:51
9_Feb_2009,Rotterdam,Hard,SF,4,28,(2)Murray d. Mario Ancic [CRO],6-1 6-2,,1.91,15.10%,1.90%,49.10%,84.60%,59.30%,3-Mar,1:01
9_Feb_2009,Rotterdam,Hard,QF,4,55,(2)Murray d. (LL)Marc Gicquel [FRA],7-6(2) 4-6 3-0 RET,,1.31,12.20%,1.40%,40.50%,76.70%,70.50%,2-Jan,1:54
9_Feb_2009,Rotterdam,Hard,R16,4,36,(2)Murray d. Andreas Seppi [ITA],7-6(4) 7-5,,1.23,10.70%,5.30%,66.70%,76.00%,48.00%,7-Apr,1:47
9_Feb_2009,Rotterdam,Hard,R32,4,48,(2)Murray d. Ivan Ljubicic [CRO],6-3 6-2,,1.62,13.00%,3.70%,50.00%,74.10%,63.00%,3-Feb,1:14
19_Jan_2009,Australian Open,Hard,R16,4,15,(14)Fernando Verdasco [ESP] d. (4)Murray,2-6 6-1 1-6 6-3 6-4, (ch),1,5.00%,2.10%,60.70%,63.50%,54.50%,17-Dec,3:09
19_Jan_2009,Australian Open,Hard,R32,4,32,(4)Murray d. (31)Jurgen Melzer [AUT],7-5 6-0 6-3,,1.58,9.80%,0.00%,59.80%,77.60%,51.50%,8-Jun,1:39
19_Jan_2009,Australian Open,Hard,R64,4,51,(4)Murray d. Marcel Granollers [ESP],6-4 6-2 6-2,,1.59,5.10%,1.30%,57.00%,73.30%,64.70%,2-Jan,1:49
19_Jan_2009,Australian Open,Hard,R128,4,1141,(4)Murray d. Andrei Pavel [ROU],6-2 3-1 RET,,2.78,6.50%,9.70%,64.50%,100.00%,45.50%,2-Feb,0:45
5_Jan_2009,Doha,Hard,F,4,8,(3)Murray d. (4)Andy Roddick [USA],6-4 6-2, (ch),1.59,10.00%,2.00%,70.00%,80.00%,60.00%,1-Jan,1:11
5_Jan_2009,Doha,Hard,SF,4,2,(3)Murray d. (2)Roger Federer [SUI],6-7(6) 6-2 6-2, (ch),1.39,8.00%,1.10%,65.50%,86.00%,50.00%,3-Mar,2:05
5_Jan_2009,Doha,Hard,QF,4,91,(3)Murray d. Sergiy Stakhovsky [UKR],6-4 6-2,,1.51,7.50%,0.00%,60.40%,71.90%,52.40%,4-Feb,1:16
5_Jan_2009,Doha,Hard,R16,4,66,(3)Murray d. Philipp Petzschner [GER],6-2 6-4,,2.74,14.00%,0.00%,72.10%,87.10%,75.00%,0/0,1:11
5_Jan_2009,Doha,Hard,R32,4,43,(3)Murray d. Albert Montanes [ESP],6-2 6-4,,1.33,5.10%,5.10%,59.30%,77.10%,50.00%,5-Apr,1:15
9_Nov_2008,Masters Cup,Hard,SF,4,5,Nikolay Davydenko [RUS] d. Murray,7-5 6-2, (ch),0.67,1.40%,1.40%,52.90%,64.90%,45.50%,10-Jun,1:39
9_Nov_2008,Masters Cup,Hard,RR,4,9,Murray d. Gilles Simon [FRA],6-4 6-2,,1.3,2.90%,1.40%,65.70%,67.40%,54.20%,8-Jul,1:33
9_Nov_2008,Masters Cup,Hard,RR,4,6,Murray d. Andy Roddick [USA],6-4 1-6 6-1, (ch),1.03,12.50%,5.60%,62.50%,80.00%,40.70%,4-Feb,1:36
9_Nov_2008,Masters Cup,Hard,RR,4,2,Murray d. Roger Federer [SUI],4-6 7-6(3) 7-5, (ch),1.09,6.30%,2.70%,56.30%,69.80%,42.90%,14-Aug,3:01
26_Oct_2008,Paris Masters,Hard,QF,4,8,(8)David Nalbandian [ARG] d. (4)Murray,7-6(3) 6-3,,0.82,13.30%,4.80%,47.00%,71.80%,36.40%,13-Aug,1:44
26_Oct_2008,Paris Masters,Hard,R16,4,17,(4)Murray d. (15)Fernando Verdasco [ESP],6-3 7-6(6),,1.48,16.10%,4.80%,64.50%,90.00%,63.60%,0/0,1:22
26_Oct_2008,Paris Masters,Hard,R32,4,41,(4)Murray d. Sam Querrey [USA],6-2 6-4,,1.2,12.10%,6.10%,63.60%,64.30%,50.00%,7-May,1:15
20_Oct_2008,St. Petersburg,Hard,F,4,150,(1)Murray d. (Q)Andrey Golubev [KAZ],6-1 6-1, (ch),2.13,0.00%,4.90%,75.60%,87.10%,30.00%,2-Feb,0:57
20_Oct_2008,St. Petersburg,Hard,SF,4,16,(1)Murray d. (3)Fernando Verdasco [ESP],6-0 6-3,,1.7,9.10%,1.80%,60.00%,78.80%,45.50%,2-Jan,1:14
20_Oct_2008,St. Petersburg,Hard,QF,4,48,(1)Murray d. Janko Tipsarevic [SRB],7-6(5) 7-5,,1.13,10.60%,2.40%,55.30%,74.50%,50.00%,7-May,2:09
20_Oct_2008,St. Petersburg,Hard,R16,4,50,(1)Murray d. Ernests Gulbis [LAT],6-4 6-2,,1.78,10.40%,0.00%,58.30%,82.10%,60.00%,4-Mar,1:01
20_Oct_2008,St. Petersburg,Hard,R32,4,53,(1)Murray d. Viktor Troicki [SRB],6-3 6-3,,1.76,8.30%,0.00%,54.20%,92.30%,59.10%,1-Jan,1:07
12_Oct_2008,Madrid Masters,Hard,F,4,16,(4)Murray d. Gilles Simon [FRA],6-4 7-6(6), (ch),1.32,16.70%,0.00%,66.70%,84.10%,50.00%,0/0,1:35
12_Oct_2008,Madrid Masters,Hard,SF,4,2,(4)Murray d. (2)Roger Federer [SUI],3-6 6-3 7-5, (ch),1.24,16.30%,2.30%,61.60%,84.90%,51.50%,3-Feb,1:57
12_Oct_2008,Madrid Masters,Hard,QF,4,18,(4)Murray d. Gael Monfils [FRA],6-2 6-2,,1.49,5.80%,0.00%,61.50%,68.80%,50.00%,0/2,1:08
12_Oct_2008,Madrid Masters,Hard,R16,4,24,(4)Murray d. Marin Cilic [CRO],7-5 7-6(2),,1.29,5.60%,4.20%,53.50%,81.60%,51.50%,0/2,1:52
12_Oct_2008,Madrid Masters,Hard,R32,4,43,(4)Murray d. (LL)Simone Bolelli [ITA],6-0 2-1 RET,,3.55,29.20%,0.00%,62.50%,86.70%,77.80%,0/0,1:44
19_Sep_2008,Davis Cup WG PO: GBR vs AUT,Grass,RR,4,164,Murray d. Alexander Peya [AUT],6-4 6-1 6-3,,,,,,,,,
19_Sep_2008,Davis Cup WG PO: GBR vs AUT,Grass,RR,4,41,Murray d. Jurgen Melzer [AUT],6-4 5-7 6-4 6-1,,,,,,,,,
25_Aug_2008,US Open,Hard,F,6,2,(2)Roger Federer [SUI] d. (6)Murray,6-2 7-5 6-2, (ch),0.68,3.70%,3.70%,55.60%,51.10%,47.20%,10-Mar,1:51
