Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
15-Apr-12,Monte Carlo Masters,Clay,R32,2,48,(2)Nadal d. Jarkko Nieminen [FIN],6-4 6-3,1.5,2.10%,0.00%,64.60%,71.00%,70.60%,0/1,01:27
21-Mar-12,Miami Masters,Hard,SF,2,4,(4)Andy Murray [GBR] d. (2)Nadal,W/O,,,,,,,,
21-Mar-12,Miami Masters,Hard,QF,2,6,(2)Nadal d. (6)Jo Wilfried Tsonga [FRA],6-2 5-7 6-4,1.06,0.00%,1.90%,64.40%,64.20%,62.20%,8/10,02:50
21-Mar-12,Miami Masters,Hard,R16,2,16,(2)Nadal d. (16)Kei Nishikori [JPN],6-4 6-4,1.3,4.60%,4.60%,61.50%,77.50%,44.00%,6/8,02:10
21-Mar-12,Miami Masters,Hard,R32,2,25,(2)Nadal d. (25)Radek Stepanek [CZE],6-2 6-2,1.53,5.60%,0.00%,70.40%,73.70%,50.00%,2/2,01:27
21-Mar-12,Miami Masters,Hard,R64,2,57,(2)Nadal d. Santiago Giraldo [COL],6-2 6-0,2.15,2.50%,0.00%,65.00%,80.80%,57.10%,1/1,01:09
08-Mar-12,Indian Wells Masters,Hard,SF,2,3,(3)Roger Federer [SUI] d. (2)Nadal,6-3 6-4,0.77,0.00%,3.60%,71.40%,57.50%,43.80%,2/6,01:32
08-Mar-12,Indian Wells Masters,Hard,QF,2,74,(2)Nadal d. David Nalbandian [ARG],4-6 7-5 6-4,1.17,3.30%,0.00%,68.10%,72.60%,62.10%,4/6,02:40
08-Mar-12,Indian Wells Masters,Hard,R16,2,21,(2)Nadal d. (21)Alexandr Dolgopolov [UKR],6-3 6-2,1.88,7.70%,0.00%,63.50%,81.80%,63.20%,5/5,01:16
08-Mar-12,Indian Wells Masters,Hard,R32,2,26,(2)Nadal d. (26)Marcel Granollers [ESP],6-1 6-4,1.66,7.50%,1.90%,64.20%,79.40%,68.40%,2/2,01:27
08-Mar-12,Indian Wells Masters,Hard,R64,2,78,(2)Nadal d. Leonardo Mayer [ARG],6-1 6-3,4.96,2.80%,5.60%,75.00%,96.30%,66.70%,0/0,01:16
16-Jan-12,Australian Open,Hard,F,2,1,(1)Novak Djokovic [SRB] d. (2)Nadal,5-7 6-4 6-2 6-7(5) 7-5,0.83,4.90%,2.00%,66.50%,65.20%,47.10%,13/20,05:53
16-Jan-12,Australian Open,Hard,SF,2,3,(2)Nadal d. (3)Roger Federer [SUI],6-7(5) 6-2 7-6(5) 6-4,1.16,2.80%,0.70%,77.30%,68.80%,62.50%,7/10,03:42
16-Jan-12,Australian Open,Hard,QF,2,7,(2)Nadal d. (7)Tomas Berdych [CZE],6-7(5) 7-6(6) 6-4 6-3,1.17,4.90%,1.40%,70.40%,76.00%,50.00%,1/11,04:16
16-Jan-12,Australian Open,Hard,R16,2,19,(2)Nadal d. (18)Feliciano Lopez [ESP],6-4 6-4 6-2,2.04,5.60%,1.40%,80.30%,80.70%,64.30%,3/4,02:25
16-Jan-12,Australian Open,Hard,R32,2,119,(2)Nadal d. (Q)Lukas Lacko [SVK],6-2 6-4 6-2,2.09,2.90%,0.00%,80.90%,85.50%,46.20%,4/5,01:55
16-Jan-12,Australian Open,Hard,R64,2,190,(2)Nadal d. Tommy Haas [GER],6-4 6-3 6-4,1.37,2.50%,2.50%,63.70%,74.50%,55.20%,2/4,02:29
16-Jan-12,Australian Open,Hard,R128,2,167,(2)Nadal d. (Q)Alex Kuznetsov [USA],6-4 6-1 6-1,2.48,12.90%,3.20%,67.70%,85.70%,65.00%,2/2,01:46
02-Jan-12,Doha,Hard,SF,2,16,(4)Gael Monfils [FRA] d. (1)Nadal,6-3 6-4,0.84,2.00%,2.00%,72.00%,63.90%,42.90%,0/3,01:36
02-Jan-12,Doha,Hard,QF,2,35,(1)Nadal d. (7)Mikhail Youzhny [RUS],6-4 6-4,1.25,1.50%,1.50%,65.70%,75.00%,43.50%,5/6,01:49
02-Jan-12,Doha,Hard,R16,2,189,(1)Nadal d. (Q)Denis Gremelmayr [GER],6-2 6-2,2.75,2.50%,0.00%,70.00%,85.70%,75.00%,1/1,01:30
02-Jan-12,Doha,Hard,R32,2,43,(1)Nadal d. Philipp Kohlschreiber [GER],6-3 6-7(2) 6-3,1.32,7.80%,0.00%,74.40%,70.10%,65.20%,2/4,02:33
02-Dec-11,Davis Cup WG F: ESP vs ARG,Clay,RR,2,26,Nadal d. Juan Monaco [ARG],6-1 6-1 6-2,,,,,,,,
02-Dec-11,Davis Cup WG F: ESP vs ARG,Clay,RR,2,11,Nadal d. Juan Martin Del Potro [ARG],1-6 6-4 6-1 7-6(0),,,,,,,,
20-Nov-11,Tour Finals,Hard,RR,2,8,Nadal d. Mardy Fish [USA],6-2 3-6 7-6(3),1.09,1.00%,4.90%,63.70%,69.20%,54.10%,8/11,02:55
20-Nov-11,Tour Finals,Hard,RR,2,4,Roger Federer [SUI] d. Nadal,6-3 6-0,0.37,2.40%,0.00%,73.20%,46.70%,45.50%,2/6,01:01
20-Nov-11,Tour Finals,Hard,RR,2,6,Jo Wilfried Tsonga [FRA] d. Nadal,7-6(2) 4-6 6-3,0.85,2.10%,1.00%,64.90%,69.80%,47.10%,3/6,02:42
09-Oct-11,Shanghai Masters,Hard,R16,2,23,(15)Florian Mayer [GER] d. (1)Nadal,7-6(5) 6-3,0.75,2.80%,0.00%,73.60%,69.80%,57.90%,2/4,01:48
09-Oct-11,Shanghai Masters,Hard,R32,2,53,(1)Nadal d. Guillermo Garcia Lopez [ESP],6-3 6-2,2.03,2.30%,2.30%,65.90%,79.30%,66.70%,0/1,01:45
03-Oct-11,Tokyo,Hard,F,2,4,(2)Andy Murray [GBR] d. (1)Nadal,3-6 6-2 6-0,0.55,3.90%,0.00%,68.80%,43.40%,70.80%,4/9,02:16
03-Oct-11,Tokyo,Hard,SF,2,8,(1)Nadal d. (4)Mardy Fish [USA],7-5 6-1,1.8,4.20%,2.10%,58.30%,71.40%,85.00%,0/0,01:36
03-Oct-11,Tokyo,Hard,QF,2,53,(1)Nadal d. Santiago Giraldo [COL],7-6(6) 6-3,1.47,7.10%,0.00%,68.60%,77.10%,68.20%,3/4,02:03
03-Oct-11,Tokyo,Hard,R16,2,30,(1)Nadal d. Milos Raonic [CAN],7-5 6-3,1.53,3.60%,1.80%,76.80%,76.70%,92.30%,0/0,01:31
03-Oct-11,Tokyo,Hard,R32,2,118,(1)Nadal d. (WC)Go Soeda [JPN],6-3 6-2,1.48,5.80%,0.00%,84.60%,68.20%,62.50%,3/3,01:31
16-Sep-11,Davis Cup WG SF: ESP vs FRA,Clay,RR,2,15,Nadal d. Richard Gasquet [FRA],6-3 6-0 6-1,,,,,,,,
16-Sep-11,Davis Cup WG SF: ESP vs FRA,Clay,RR,2,10,Nadal d. Jo Wilfried Tsonga [FRA],6-0 6-2 6-4,,,,,,,,
29-Aug-11,US Open,Hard,F,2,1,(1)Novak Djokovic [SRB] d. (2)Nadal,6-2 6-4 6-7(3) 6-1,0.82,1.40%,2.10%,68.10%,52.10%,42.20%,15/27,04:10
29-Aug-11,US Open,Hard,SF,2,4,(2)Nadal d. (4)Andy Murray [GBR],6-4 6-2 3-6 6-2,1.29,2.70%,0.90%,67.60%,72.00%,55.60%,8/10,03:24
29-Aug-11,US Open,Hard,QF,2,21,(2)Nadal d. (21)Andy Roddick [USA],6-2 6-1 6-3,1.97,9.00%,1.50%,68.70%,82.60%,57.10%,4/4,01:53
29-Aug-11,US Open,Hard,R16,2,68,(2)Nadal d. Gilles Muller [LUX],7-6(1) 6-1 6-2,1.91,6.80%,5.40%,73.00%,81.50%,55.00%,0/2,02:08
29-Aug-11,US Open,Hard,R32,2,76,(2)Nadal d. David Nalbandian [ARG],7-6(5) 6-1 7-5,1.33,2.00%,3.90%,77.50%,69.60%,43.50%,5/8,02:39
29-Aug-11,US Open,Hard,R64,2,99,(2)Nadal d. Nicolas Mahut [FRA],6-2 6-2 RET,1.91,6.10%,2.00%,69.40%,82.40%,53.30%,4/4,01:21
29-Aug-11,US Open,Hard,R128,2,98,(2)Nadal d. Andrey Golubev [KAZ],6-3 7-6(1) 7-5,1.28,6.40%,4.30%,63.80%,66.70%,47.10%,4/10,02:49
14-Aug-11,Cincinnati Masters,Hard,QF,2,7,(7)Mardy Fish [USA] d. (2)Nadal,6-3 6-4,0.66,1.60%,3.20%,74.60%,63.80%,43.80%,2/4,01:40
14-Aug-11,Cincinnati Masters,Hard,R16,2,21,(2)Nadal d. Fernando Verdasco [ESP],7-6(5) 6-7(4) 7-6(9),0.96,4.10%,1.60%,70.70%,66.70%,50.00%,6/10,03:38
14-Aug-11,Cincinnati Masters,Hard,R32,2,112,(2)Nadal d. (Q)Julien Benneteau [FRA],6-4 7-5,1.6,16.40%,1.80%,61.80%,85.30%,61.90%,1/2,01:33
08-Aug-11,Canada Masters,Hard,R32,2,41,Ivan Dodig [CRO] d. (2)Nadal,1-6 7-6(5) 7-6(5),1.17,6.50%,1.90%,52.30%,75.00%,54.90%,1/4,03:09
20-Jun-11,Wimbledon,Grass,F,1,2,(2)Novak Djokovic [SRB] d. (1)Nadal,6-4 6-1 1-6 6-3,0.86,6.10%,1.20%,78.00%,67.20%,44.40%,1/6,02:28
20-Jun-11,Wimbledon,Grass,SF,1,4,(1)Nadal d. (4)Andy Murray [GBR],5-7 6-2 6-2 6-4,1.42,5.80%,1.00%,68.00%,81.40%,57.60%,3/4,02:59
20-Jun-11,Wimbledon,Grass,QF,1,9,(1)Nadal d. (10)Mardy Fish [USA],6-3 6-3 5-7 6-4,1.45,4.80%,1.00%,67.60%,77.50%,58.80%,4/7,02:53
20-Jun-11,Wimbledon,Grass,R16,1,21,(1)Nadal d. (24)Juan Martin Del Potro [ARG],7-6(6) 3-6 7-6(4) 6-4,1.14,10.10%,0.80%,72.90%,78.70%,54.30%,2/3,03:52
20-Jun-11,Wimbledon,Grass,R32,1,92,(1)Nadal d. (WC)Gilles Muller [LUX],7-6(6) 7-6(5) 6-0,1.36,7.50%,1.10%,71.00%,83.30%,66.70%,2/2,02:24
20-Jun-11,Wimbledon,Grass,R64,1,69,(1)Nadal d. Ryan Sweeting [USA],6-3 6-2 6-4,1.77,11.70%,0.00%,70.10%,77.80%,65.20%,1/2,02:07
20-Jun-11,Wimbledon,Grass,R128,1,90,(1)Nadal d. Michael Russell [USA],6-4 6-2 6-2,1.67,5.70%,2.90%,67.10%,76.60%,56.50%,1/3,01:58
06-Jun-11,Queen's Club,Grass,QF,1,19,(5)Jo Wilfried Tsonga [FRA] d. (1)Nadal,6-7(3) 6-4 6-1,0.69,6.50%,2.20%,71.70%,57.60%,69.20%,6/11,02:02
06-Jun-11,Queen's Club,Grass,R16,1,57,(1)Nadal d. Radek Stepanek [CZE],6-3 5-7 6-1,1.18,6.90%,3.90%,63.70%,61.50%,56.80%,13/16,02:24
06-Jun-11,Queen's Club,Grass,R32,1,168,(1)Nadal d. (Q)Matthew Ebden [AUS],6-4 6-4,1.25,10.30%,3.40%,62.10%,80.60%,59.10%,1/1,01:15
22-May-11,Roland Garros,Clay,F,1,3,(1)Nadal d. (3)Roger Federer [SUI],7-5 7-6(3) 5-7 6-1,1.08,2.70%,2.00%,72.10%,65.10%,51.20%,1/10,03:40
22-May-11,Roland Garros,Clay,SF,1,4,(1)Nadal d. (4)Andy Murray [GBR],6-4 7-5 6-4,1.2,1.70%,2.50%,73.10%,69.00%,43.80%,15/18,03:17
22-May-11,Roland Garros,Clay,QF,1,5,(1)Nadal d. (5)Robin Soderling [SWE],6-4 6-1 7-6(3),1.33,4.40%,0.00%,76.70%,63.80%,71.40%,4/6,02:35
22-May-11,Roland Garros,Clay,R16,1,37,(1)Nadal d. Ivan Ljubicic [CRO],7-5 6-3 6-3,1.98,2.80%,1.40%,68.10%,81.60%,65.20%,2/4,02:26
22-May-11,Roland Garros,Clay,R32,1,227,(1)Nadal d. (Q)Antonio Veic [CRO],6-1 6-3 6-0,2.14,1.50%,0.00%,72.70%,62.50%,77.80%,3/5,01:41
22-May-11,Roland Garros,Clay,R64,1,48,(1)Nadal d. Pablo Andujar [ESP],7-5 6-3 7-6(4),1.21,4.80%,3.20%,68.30%,66.30%,45.00%,1/11,03:18
22-May-11,Roland Garros,Clay,R128,1,39,(1)Nadal d. John Isner [USA],6-4 6-7(2) 6-7(2) 6-2 6-4,1.62,6.00%,0.70%,72.40%,81.40%,70.30%,0/1,04:01
08-May-11,Rome Masters,Clay,F,1,2,(2)Novak Djokovic [SRB] d. (1)Nadal,6-4 6-4,0.84,2.90%,1.40%,71.00%,67.30%,25.00%,7/11,02:13
08-May-11,Rome Masters,Clay,SF,1,16,(1)Nadal d. (16)Richard Gasquet [FRA],7-5 6-1,1.67,7.40%,0.00%,74.10%,77.50%,57.10%,4/4,01:34
08-May-11,Rome Masters,Clay,QF,1,23,(1)Nadal d. Marin Cilic [CRO],6-1 6-3,2.08,4.40%,0.00%,68.90%,80.60%,64.30%,0/0,01:26
08-May-11,Rome Masters,Clay,R16,1,40,(1)Nadal d. Feliciano Lopez [ESP],6-4 6-2,2.67,7.30%,0.00%,87.80%,80.60%,100.00%,1/2,01:16
08-May-11,Rome Masters,Clay,R32,1,148,(1)Nadal d. (Q)Paolo Lorenzi [ITA],6-7(5) 6-4 6-0,1.34,2.50%,3.80%,71.30%,75.40%,47.80%,1/3,02:37
01-May-11,Madrid Masters,Clay,F,1,2,(2)Novak Djokovic [SRB] d. (1)Nadal,7-5 6-4,0.77,4.00%,0.00%,69.30%,55.80%,39.10%,7/12,02:18
01-May-11,Madrid Masters,Clay,SF,1,3,(1)Nadal d. (3)Roger Federer [SUI],5-7 6-1 6-3,1.25,1.00%,0.00%,81.20%,67.10%,52.60%,9/11,02:36
01-May-11,Madrid Masters,Clay,QF,1,27,(1)Nadal d. Michael Llodra [FRA],6-2 6-2,2.56,2.40%,0.00%,73.20%,83.30%,72.70%,0/0,01:15
01-May-11,Madrid Masters,Clay,R16,1,32,(1)Nadal d. Juan Martin Del Potro [ARG],W/O,,,,,,,,
01-May-11,Madrid Masters,Clay,R32,1,24,(1)Nadal d. Marcos Baghdatis [CYP],6-1 6-3,2.47,2.40%,0.00%,56.10%,82.60%,77.80%,0/0,01:22
18-Apr-11,Barcelona,Clay,F,1,6,(1)Nadal d. (4)David Ferrer [ESP],6-2 6-4,1.23,0.00%,1.60%,67.20%,56.10%,50.00%,5/8,01:49
18-Apr-11,Barcelona,Clay,SF,1,56,(1)Nadal d. Ivan Dodig [CRO],6-3 6-2,1.64,2.00%,0.00%,71.40%,68.60%,50.00%,2/4,01:28
18-Apr-11,Barcelona,Clay,QF,1,9,(1)Nadal d. (7)Gael Monfils [FRA],6-2 6-2,2.42,2.50%,2.50%,57.50%,78.30%,82.40%,0/0,01:15
18-Apr-11,Barcelona,Clay,R16,1,54,(1)Nadal d. Santiago Giraldo [COL],6-3 6-1,1.5,1.90%,3.80%,64.20%,70.60%,52.60%,2/3,01:23
18-Apr-11,Barcelona,Clay,R32,1,60,(1)Nadal d. Daniel Gimeno Traver [ESP],6-1 6-1,2.27,5.10%,0.00%,61.50%,83.30%,60.00%,0/0,01:06
10-Apr-11,Monte Carlo Masters,Clay,F,1,6,(1)Nadal d. (4)David Ferrer [ESP],6-4 7-5,1.11,0.00%,3.60%,61.40%,64.70%,56.30%,5/7,02:17
10-Apr-11,Monte Carlo Masters,Clay,SF,1,4,(1)Nadal d. (3)Andy Murray [GBR],6-4 2-6 6-1,1.15,3.70%,2.40%,68.30%,58.90%,42.30%,6/12,02:59
10-Apr-11,Monte Carlo Masters,Clay,QF,1,40,(1)Nadal d. Ivan Ljubicic [CRO],6-1 6-3,1.89,0.00%,2.20%,69.60%,75.00%,57.10%,5/6,01:20
10-Apr-11,Monte Carlo Masters,Clay,R16,1,18,(1)Nadal d. (13)Richard Gasquet [FRA],6-2 6-4,1.7,6.00%,4.00%,66.00%,75.80%,64.70%,0/1,01:34
10-Apr-11,Monte Carlo Masters,Clay,R32,1,59,(1)Nadal d. Jarkko Nieminen [FIN],6-2 6-2,2.5,0.00%,2.50%,65.00%,84.60%,71.40%,0/0,01:09
23-Mar-11,Miami Masters,Hard,F,1,2,(2)Novak Djokovic [SRB] d. (1)Nadal,4-6 6-3 7-6(4),0.79,4.50%,5.50%,60.00%,69.70%,45.50%,7/9,03:22
23-Mar-11,Miami Masters,Hard,SF,1,3,(1)Nadal d. (3)Roger Federer [SUI],6-3 6-2,2.09,0.00%,0.00%,75.60%,82.40%,63.60%,2/2,01:19
23-Mar-11,Miami Masters,Hard,QF,1,7,(1)Nadal d. (7)Tomas Berdych [CZE],6-2 3-6 6-3,1.12,9.90%,2.50%,67.90%,69.10%,65.40%,6/7,02:17
23-Mar-11,Miami Masters,Hard,R16,1,23,(1)Nadal d. (21)Alexandr Dolgopolov [UKR],6-1 6-2,2.34,7.10%,0.00%,69.00%,86.20%,53.80%,0/0,01:00
23-Mar-11,Miami Masters,Hard,R32,1,41,(1)Nadal d. Feliciano Lopez [ESP],6-3 6-3,2.06,4.40%,2.20%,66.70%,90.00%,60.00%,0/0,01:18
23-Mar-11,Miami Masters,Hard,R64,1,62,(1)Nadal d. Kei Nishikori [JPN],6-4 6-4,1.34,3.20%,3.20%,58.70%,75.70%,69.20%,4/4,01:49
10-Mar-11,Indian Wells Masters,Hard,F,1,3,(3)Novak Djokovic [SRB] d. (1)Nadal,4-6 6-3 6-2,0.89,2.90%,0.00%,42.00%,69.00%,57.50%,3/8,02:26
10-Mar-11,Indian Wells Masters,Hard,SF,1,90,(1)Nadal d. Juan Martin Del Potro [ARG],6-4 6-4,1.47,7.30%,3.60%,56.40%,80.60%,58.30%,2/3,01:52
10-Mar-11,Indian Wells Masters,Hard,QF,1,239,(1)Nadal d. Ivo Karlovic [CRO],5-7 6-1 7-6(7),1.79,7.40%,2.50%,60.50%,77.60%,84.40%,0/1,02:24
10-Mar-11,Indian Wells Masters,Hard,R16,1,84,(1)Nadal d. (Q)Somdev Devvarman [IND],7-5 6-4,1.42,0.00%,2.90%,58.80%,70.00%,64.30%,2/3,01:55
10-Mar-11,Indian Wells Masters,Hard,R32,1,105,(1)Nadal d. (Q)Ryan Sweeting [USA],6-3 6-1,3.64,8.10%,0.00%,56.80%,95.20%,75.00%,0/0,01:09
10-Mar-11,Indian Wells Masters,Hard,R64,1,162,(1)Nadal d. (Q)Rik De Voest [RSA],6-0 6-2,3.07,2.90%,8.80%,47.10%,100.00%,66.70%,0/0,01:00
04-Mar-11,Davis Cup WG R1: BEL vs ESP,Hard,RR,1,144,Nadal d. Ruben Bemelmans [BEL],6-2 6-4 6-2,,,,,,,,
04-Mar-11,Davis Cup WG R1: BEL vs ESP,Hard,RR,1,115,Nadal d. Olivier Rochus [BEL],6-4 6-2,,,,,,,,
17-Jan-11,Australian Open,Hard,QF,1,7,(7)David Ferrer [ESP] d. (1)Nadal,6-4 6-2 6-3,0.65,1.90%,1.00%,66.30%,55.10%,37.10%,1/8,02:33
17-Jan-11,Australian Open,Hard,R16,1,15,(1)Nadal d. (15)Marin Cilic [CRO],6-2 6-4 6-3,1.46,3.50%,3.50%,72.90%,79.00%,47.80%,2/2,02:31
17-Jan-11,Australian Open,Hard,R32,1,199,(1)Nadal d. (WC)Bernard Tomic [AUS],6-2 7-5 6-3,1.22,4.10%,4.10%,57.70%,67.90%,53.70%,6/8,02:30
17-Jan-11,Australian Open,Hard,R64,1,116,(1)Nadal d. (Q)Ryan Sweeting [USA],6-2 6-1 6-1,2.01,10.90%,6.30%,64.10%,82.90%,52.20%,1/2,01:42
17-Jan-11,Australian Open,Hard,R128,1,93,(1)Nadal d. Marcos Daniel [BRA],6-0 5-0 RET,3.23,11.40%,8.60%,54.30%,84.20%,56.30%,4/4,00:47
03-Jan-11,Doha,Hard,SF,1,22,(4)Nikolay Davydenko [RUS] d. (1)Nadal,6-3 6-2,0.7,1.70%,1.70%,67.20%,48.70%,42.10%,5/10,01:25
03-Jan-11,Doha,Hard,QF,1,24,(1)Nadal d. (5)Ernests Gulbis [LAT],7-6(3) 6-3,1.59,6.60%,1.60%,60.70%,78.40%,66.70%,5/6,01:51
03-Jan-11,Doha,Hard,R16,1,89,(1)Nadal d. Lukas Lacko [SVK],7-6(3) 0-6 6-3,0.95,9.70%,4.30%,64.50%,63.30%,39.40%,1/9,02:18
03-Jan-11,Doha,Hard,R32,1,103,(1)Nadal d. Karol Beck [SVK],6-3 6-0,1.96,2.10%,4.30%,70.20%,78.80%,50.00%,4/5,01:10
21-Nov-10,Tour Finals,Hard,F,1,2,Roger Federer [SUI] d. Nadal,6-3 3-6 6-1,0.58,1.50%,1.50%,77.30%,64.70%,66.70%,0/3,01:38
21-Nov-10,Tour Finals,Hard,SF,1,5,Nadal d. Andy Murray [GBR],7-6(5) 3-6 7-6(6),0.96,4.60%,1.80%,63.30%,71.00%,60.00%,5/8,03:12
21-Nov-10,Tour Finals,Hard,RR,1,8,Nadal d. Andy Roddick [USA],3-6 7-6(5) 6-4,0.92,6.50%,4.30%,57.60%,75.50%,59.00%,2/4,02:34
21-Nov-10,Tour Finals,Hard,RR,1,3,Nadal d. Novak Djokovic [SRB],7-5 6-2,1.32,9.70%,0.00%,53.20%,72.70%,62.10%,4/5,01:52
21-Nov-10,Tour Finals,Hard,RR,1,6,Nadal d. Tomas Berdych [CZE],7-6(3) 6-1,1.51,5.80%,1.40%,68.10%,76.60%,63.60%,2/2,01:55
10-Oct-10,Shanghai Masters,Hard,R16,1,12,(13)Jurgen Melzer [AUT] d. (1)Nadal,6-1 3-6 6-3,0.66,1.20%,1.20%,74.40%,60.70%,57.10%,9/12,01:59
10-Oct-10,Shanghai Masters,Hard,R32,1,21,(1)Nadal d. Stan Wawrinka [SUI],6-4 6-4,1.29,3.30%,0.00%,63.90%,79.50%,59.10%,3/3,01:36
04-Oct-10,Tokyo,Hard,F,1,15,(1)Nadal d. (5)Gael Monfils [FRA],6-1 7-5,1.78,2.00%,2.00%,60.80%,90.30%,60.00%,0/0,01:17
04-Oct-10,Tokyo,Hard,SF,1,54,(1)Nadal d. Viktor Troicki [SRB],7-6(4) 4-6 7-6(7),0.85,15.90%,2.70%,61.90%,75.70%,58.10%,2/5,02:38
04-Oct-10,Tokyo,Hard,QF,1,432,(1)Nadal d. Dmitry Tursunov [RUS],6-4 6-1,1.94,11.90%,2.40%,52.40%,77.30%,70.00%,0/1,01:13
04-Oct-10,Tokyo,Hard,R16,1,200,(1)Nadal d. (Q)Milos Raonic [CAN],6-4 6-4,1.35,8.60%,1.70%,75.90%,79.50%,64.30%,5/5,01:13
04-Oct-10,Tokyo,Hard,R32,1,63,(1)Nadal d. Santiago Giraldo [COL],6-4 6-4,1.11,5.60%,2.80%,62.00%,75.00%,51.90%,4/4,01:50
27-Sep-10,Bangkok,Hard,SF,1,53,Guillermo Garcia Lopez [ESP] d. (1)Nadal,2-6 7-6(3) 6-3,1.35,8.30%,4.80%,61.90%,86.50%,46.90%,0/1,02:45
27-Sep-10,Bangkok,Hard,QF,1,83,(1)Nadal d. Mikhail Kukushkin [KAZ],6-2 6-3,2.7,16.30%,0.00%,79.10%,91.20%,55.60%,0/0,01:11
27-Sep-10,Bangkok,Hard,R16,1,195,(1)Nadal d. (Q)Ruben Bemelmans [BEL],6-1 6-4,2.43,4.40%,0.00%,57.80%,92.30%,68.40%,0/0,01:12
30-Aug-10,US Open,Hard,F,1,3,(1)Nadal d. (3)Novak Djokovic [SRB],6-4 5-7 6-4 6-2,1.31,7.10%,1.80%,67.00%,73.30%,56.80%,1/4,03:43
30-Aug-10,US Open,Hard,SF,1,14,(1)Nadal d. (12)Mikhail Youzhny [RUS],6-2 6-3 6-4,1.8,3.90%,1.30%,64.90%,78.00%,70.40%,1/2,02:13
30-Aug-10,US Open,Hard,QF,1,8,(1)Nadal d. (8)Fernando Verdasco [ESP],7-5 6-3 6-4,1.97,5.20%,0.00%,66.20%,84.30%,69.20%,0/1,02:22
30-Aug-10,US Open,Hard,R16,1,25,(1)Nadal d. (23)Feliciano Lopez [ESP],6-3 6-4 6-4,2.02,11.40%,1.30%,63.30%,90.00%,62.10%,4/4,02:08
30-Aug-10,US Open,Hard,R32,1,42,(1)Nadal d. Gilles Simon [FRA],6-4 6-4 6-2,1.72,7.90%,3.90%,56.60%,90.70%,57.60%,1/1,01:59
30-Aug-10,US Open,Hard,R64,1,39,(1)Nadal d. Denis Istomin [UZB],6-2 7-6(5) 7-5,1.78,8.70%,3.30%,65.20%,83.30%,71.90%,7/7,02:44
30-Aug-10,US Open,Hard,R128,1,93,(1)Nadal d. Teymuraz Gabashvili [RUS],7-6(4) 7-6(4) 6-3,1.46,6.80%,2.90%,67.00%,78.30%,70.60%,1/1,02:57
15-Aug-10,Cincinnati Masters,Hard,QF,1,20,Marcos Baghdatis [CYP] d. (1)Nadal,6-4 4-6 6-4,0.81,4.10%,3.10%,61.90%,71.70%,48.60%,4/7,02:32
15-Aug-10,Cincinnati Masters,Hard,R16,1,32,(1)Nadal d. Julien Benneteau [FRA],5-7 7-6(6) 6-2,1.16,4.60%,2.80%,60.20%,72.30%,46.50%,7/12,02:48
15-Aug-10,Cincinnati Masters,Hard,R32,1,83,(1)Nadal d. (Q)Taylor Dent [USA],6-2 7-5,1.4,0.00%,1.80%,65.50%,75.00%,52.60%,1/2,01:24
09-Aug-10,Canada Masters,Hard,SF,1,4,(4)Andy Murray [GBR] d. (1)Nadal,6-3 6-4,0.74,3.20%,1.60%,61.30%,63.20%,50.00%,5/8,01:44
09-Aug-10,Canada Masters,Hard,QF,1,37,(1)Nadal d. Philipp Kohlschreiber [GER],3-6 6-3 6-4,1.39,5.60%,1.40%,65.30%,78.70%,72.00%,3/4,02:00
09-Aug-10,Canada Masters,Hard,R16,1,87,(1)Nadal d. (Q)Kevin Anderson [RSA],6-2 7-6(6),1.62,1.80%,1.80%,64.30%,75.00%,80.00%,0/1,01:42
09-Aug-10,Canada Masters,Hard,R32,1,24,(1)Nadal d. Stan Wawrinka [SUI],7-6(12) 6-3,1.13,2.50%,3.80%,64.60%,78.40%,50.00%,2/3,02:22
21-Jun-10,Wimbledon,Grass,F,1,13,(2)Nadal d. (12)Tomas Berdych [CZE],6-3 7-5 6-4,1.25,5.60%,3.30%,68.90%,77.40%,64.30%,4/4,02:13
21-Jun-10,Wimbledon,Grass,SF,1,4,(2)Nadal d. (4)Andy Murray [GBR],6-4 7-6(6) 6-4,1.09,4.10%,2.10%,70.10%,77.90%,58.60%,2/3,02:22
21-Jun-10,Wimbledon,Grass,QF,1,6,(2)Nadal d. (6)Robin Soderling [SWE],3-6 6-3 7-6(4) 6-1,1.07,9.50%,2.40%,67.50%,69.40%,61.00%,4/7,02:43
21-Jun-10,Wimbledon,Grass,R16,1,66,(2)Nadal d. Paul Henri Mathieu [FRA],6-4 6-2 6-2,2.19,11.80%,1.50%,64.70%,86.40%,66.70%,2/2,02:01
21-Jun-10,Wimbledon,Grass,R32,1,41,(2)Nadal d. (33)Philipp Petzschner [GER],6-4 4-6 6-7(5) 6-2 6-3,1.37,8.50%,0.70%,67.60%,80.20%,60.90%,1/2,03:45
21-Jun-10,Wimbledon,Grass,R64,1,151,(2)Nadal d. Robin Haase [NED],5-7 6-2 3-6 6-0 6-3,1.67,4.70%,1.90%,68.20%,84.90%,67.60%,0/2,02:22
21-Jun-10,Wimbledon,Grass,R128,1,189,(2)Nadal d. (WC)Kei Nishikori [JPN],6-2 6-4 6-4,1.59,10.30%,3.80%,69.20%,81.50%,54.20%,2/3,02:05
