Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28-Jun-21,Wimbledon,Grass,QF,8,18,(14)Hubert Hurkacz [POL] d. (6)Federer,6-3 7-6(4) 6-0,0.68,5.40%,3.20%,64.50%,66.70%,33.30%,1/10,01:49
28-Jun-21,Wimbledon,Grass,R16,8,27,(6)Federer d. (23)Lorenzo Sonego [ITA],7-5 6-4 6-2,1.58,5.10%,1.30%,60.30%,78.70%,64.50%,2/3,02:11
28-Jun-21,Wimbledon,Grass,R32,8,34,(6)Federer d. (29)Cameron Norrie [GBR],6-4 6-4 5-7 6-4,1.33,6.10%,0.00%,66.70%,73.70%,65.80%,2/4,02:35
28-Jun-21,Wimbledon,Grass,R64,8,56,(6)Federer d. Richard Gasquet [FRA],7-6(1) 6-1 6-4,1.61,10.50%,0.00%,65.30%,83.90%,57.60%,5/5,01:51
28-Jun-21,Wimbledon,Grass,R128,8,41,(6)Federer d. Adrian Mannarino [FRA],6-4 6-7(3) 3-6 6-2 0-0 RET,1.16,14.30%,2.70%,60.70%,73.50%,61.40%,6/8,02:44
14-Jun-21,Halle,Grass,R16,8,21,Felix Auger Aliassime [CAN] d. (5)Federer,4-6 6-3 6-2,0.5,5.50%,1.10%,67.00%,62.30%,53.30%,1/12,01:44
14-Jun-21,Halle,Grass,R32,8,90,(5)Federer d. (Q)Ilya Ivashka [BLR],7-6(4) 7-5,0.94,5.30%,1.30%,75.00%,77.20%,52.60%,2/2,01:34
31-May-21,Roland Garros,Clay,R16,8,9,(9)Matteo Berrettini [ITA] d. (8)Federer,W/O,,,,,,,,
31-May-21,Roland Garros,Clay,R32,8,59,(8)Federer d. Dominik Koepfer [GER],7-6(5) 6-7(3) 7-6(4) 7-5,1.02,3.80%,0.60%,63.90%,68.30%,57.90%,2/6,03:35
31-May-21,Roland Garros,Clay,R64,8,47,(8)Federer d. Marin Cilic [CRO],6-2 2-6 7-6(4) 6-2,1.22,13.70%,0.90%,68.40%,75.00%,56.80%,5/8,02:35
31-May-21,Roland Garros,Clay,R128,8,204,(8)Federer d. (Q)Denis Istomin [UZB],6-2 6-4 6-3,2.18,12.30%,0.00%,70.80%,80.40%,78.90%,0/0,01:33
17-May-21,Geneva,Clay,R16,8,75,Pablo Andujar [ESP] d. (1)Federer,6-4 4-6 6-4,0.96,3.70%,0.00%,59.30%,77.10%,57.60%,2/5,01:51
08-Mar-21,Doha,Hard,QF,6,42,Nikoloz Basilashvili [GEO] d. (2)Federer,3-6 6-1 7-5,0.87,12.50%,0.00%,68.80%,66.70%,50.00%,7/10,01:50
08-Mar-21,Doha,Hard,R16,6,28,(2)Federer d. Daniel Evans [GBR],7-6(8) 3-6 7-5,1.16,12.40%,0.00%,67.60%,78.90%,52.90%,3/4,02:24
20-Jan-20,Australian Open,Hard,SF,3,2,(2)Novak Djokovic [SRB] d. (3)Federer,7-6(1) 6-4 6-3,0.76,14.40%,2.90%,65.40%,66.20%,41.70%,7/11,02:18
20-Jan-20,Australian Open,Hard,QF,3,100,(3)Federer d. Tennys Sandgren [USA],6-3 2-6 2-6 7-6(8) 6-3,0.93,2.90%,1.80%,65.50%,71.40%,52.50%,1/10,03:31
20-Jan-20,Australian Open,Hard,R16,3,67,(3)Federer d. Marton Fucsovics [HUN],4-6 6-1 6-2 6-2,1.36,4.90%,0.00%,61.20%,76.20%,52.50%,7/9,02:11
20-Jan-20,Australian Open,Hard,R32,3,47,(3)Federer d. John Millman [AUS],4-6 7-6(2) 6-4 4-6 7-6(8),1.08,9.40%,3.50%,65.30%,76.60%,50.80%,4/8,04:03
20-Jan-20,Australian Open,Hard,R64,3,41,(3)Federer d. Filip Krajinovic [SRB],6-1 6-4 6-1,1.86,20.60%,0.00%,69.10%,76.60%,61.90%,2/3,01:32
20-Jan-20,Australian Open,Hard,R128,3,75,(3)Federer d. Steve Johnson [USA],6-3 6-2 6-2,2.36,16.70%,1.50%,74.20%,81.60%,76.50%,1/1,01:21
11-Nov-19,Tour Finals,Hard,SF,3,6,(6)Stefanos Tsitsipas [GRE] d. (3)Federer,6-3 6-4,0.97,5.60%,0.00%,55.60%,70.00%,45.80%,1/4,01:36
11-Nov-19,Tour Finals,Hard,RR,3,2,(3)Federer d. (2)Novak Djokovic [SRB],6-4 6-3,2.08,24.50%,4.10%,73.50%,80.60%,69.20%,1/1,01:13
11-Nov-19,Tour Finals,Hard,RR,3,5,(5)Dominic Thiem [AUT] d. (3)Federer,7-5 7-5,0.97,7.40%,0.00%,69.10%,70.20%,47.60%,2/5,01:40
11-Nov-19,Tour Finals,Hard,RR,3,8,(3)Federer d. (8)Matteo Berrettini [ITA],7-6(2) 6-3,1.38,11.90%,0.00%,67.20%,77.80%,68.20%,3/3,01:18
21-Oct-19,Basel,Hard,F,3,28,(1)Federer d. (WC)Alex De Minaur [AUS],6-2 6-2,1.71,8.00%,0.00%,64.00%,78.10%,61.10%,0/0,01:08
21-Oct-19,Basel,Hard,SF,3,7,(1)Federer d. (3)Stefanos Tsitsipas [GRE],6-4 6-4,1.6,11.50%,3.80%,57.70%,80.00%,77.30%,1/1,01:18
21-Oct-19,Basel,Hard,QF,3,17,(1)Federer d. (7)Stan Wawrinka [SUI],W/O,,,,,,,,
21-Oct-19,Basel,Hard,R16,3,49,(1)Federer d. Radu Albot [MDA],6-0 6-3,2.17,12.50%,2.50%,75.00%,76.70%,70.00%,2/2,01:02
21-Oct-19,Basel,Hard,R32,3,112,(1)Federer d. (Q)Peter Gojowczyk [GER],6-2 6-1,1.65,23.50%,3.90%,64.70%,81.80%,38.90%,0/1,00:52
07-Oct-19,Shanghai Masters,Hard,QF,3,6,(5)Alexander Zverev [GER] d. (2)Federer,6-3 6-7(7) 6-3,0.7,3.30%,0.00%,64.10%,64.40%,57.60%,4/8,02:04
07-Oct-19,Shanghai Masters,Hard,R16,3,14,(2)Federer d. (13)David Goffin [BEL],7-6(7) 6-4,1.17,9.60%,1.20%,72.30%,71.70%,56.50%,2/3,01:54
07-Oct-19,Shanghai Masters,Hard,R32,3,46,(2)Federer d. Albert Ramos [ESP],6-2 7-6(5),2.4,14.80%,0.00%,79.60%,90.70%,63.60%,0/0,01:24
26-Aug-19,US Open,Hard,QF,3,78,Grigor Dimitrov [BUL] d. (3)Federer,3-6 6-4 3-6 6-4 6-2,0.91,4.20%,0.70%,61.10%,73.90%,50.00%,1/10,03:12
26-Aug-19,US Open,Hard,R16,3,15,(3)Federer d. (15)David Goffin [BEL],6-2 6-2 6-0,2.18,16.10%,4.80%,67.70%,83.30%,40.00%,5/7,01:19
26-Aug-19,US Open,Hard,R32,3,58,(3)Federer d. Daniel Evans [GBR],6-2 6-2 6-1,2.6,16.40%,1.60%,65.60%,80.00%,71.40%,1/2,01:20
26-Aug-19,US Open,Hard,R64,3,99,(3)Federer d. Damir Dzumhur [BIH],3-6 6-2 6-3 6-4,1.2,13.40%,3.40%,68.90%,76.80%,43.20%,1/8,02:22
26-Aug-19,US Open,Hard,R128,3,190,(3)Federer d. (Q)Sumit Nagal [IND],4-6 6-1 6-2 6-4,1.21,9.10%,5.30%,60.60%,71.30%,48.10%,1/10,02:30
12-Aug-19,Cincinnati Masters,Hard,R16,3,70,(Q)Andrey Rublev [RUS] d. (3)Federer,6-3 6-4,0.68,10.20%,4.10%,65.30%,62.50%,52.90%,1/4,01:01
12-Aug-19,Cincinnati Masters,Hard,R32,3,55,(3)Federer d. (WC)Juan Ignacio Londero [ARG],6-3 6-4,1.57,17.00%,0.00%,66.00%,77.10%,83.30%,1/1,01:01
01-Jul-19,Wimbledon,Grass,F,3,1,(1)Novak Djokovic [SRB] d. (2)Federer,7-6(5) 1-6 7-6(4) 4-6 13-12,1.14,12.30%,3.00%,62.60%,78.70%,51.30%,5/8,04:57
01-Jul-19,Wimbledon,Grass,SF,3,2,(2)Federer d. (3)Rafael Nadal [ESP],7-6(3) 1-6 6-3 6-4,1.17,12.10%,0.90%,68.10%,73.40%,62.20%,6/8,03:02
01-Jul-19,Wimbledon,Grass,QF,3,7,(2)Federer d. (8)Kei Nishikori [JPN],4-6 6-1 6-4 6-4,1.65,11.30%,3.80%,66.00%,81.40%,58.30%,5/6,02:36
01-Jul-19,Wimbledon,Grass,R16,3,20,(2)Federer d. (17)Matteo Berrettini [ITA],6-1 6-2 6-2,2.77,8.20%,1.60%,68.90%,88.10%,68.40%,1/1,01:14
01-Jul-19,Wimbledon,Grass,R32,3,28,(2)Federer d. (27)Lucas Pouille [FRA],7-5 6-2 7-6(4),1.35,5.90%,0.00%,69.60%,76.10%,58.10%,3/4,02:06
01-Jul-19,Wimbledon,Grass,R64,3,169,(2)Federer d. Jay Clarke [GBR],6-1 7-6(3) 6-2,2.62,13.70%,2.70%,63.00%,91.30%,70.40%,2/2,01:37
01-Jul-19,Wimbledon,Grass,R128,3,86,(2)Federer d. Lloyd Harris [RSA],3-6 6-1 6-2 6-2,2.17,11.50%,1.30%,56.40%,79.50%,79.40%,0/1,01:51
17-Jun-19,Halle,Grass,F,3,33,(1)Federer d. David Goffin [BEL],7-6(2) 6-1,1.72,12.10%,1.70%,60.30%,82.90%,65.20%,3/3,01:23
17-Jun-19,Halle,Grass,SF,3,43,(1)Federer d. Pierre Hugues Herbert [FRA],6-3 6-3,3.36,14.60%,0.00%,68.30%,85.70%,92.30%,0/0,01:02
17-Jun-19,Halle,Grass,QF,3,20,(1)Federer d. (7)Roberto Bautista Agut [ESP],6-3 4-6 6-4,1.27,4.40%,0.00%,65.60%,76.30%,61.30%,4/5,01:53
17-Jun-19,Halle,Grass,R16,3,77,(1)Federer d. (WC)Jo Wilfried Tsonga [FRA],7-6(5) 4-6 7-5,1,7.00%,1.00%,66.00%,75.80%,61.80%,5/7,02:16
17-Jun-19,Halle,Grass,R32,3,57,(1)Federer d. John Millman [AUS],7-6(1) 6-3,1.64,14.30%,7.90%,66.70%,90.50%,52.40%,1/1,01:17
27-May-19,Roland Garros,Clay,SF,3,2,(2)Rafael Nadal [ESP] d. (3)Federer,6-3 6-4 6-2,0.72,3.20%,1.10%,59.10%,61.80%,39.50%,1/10,02:25
27-May-19,Roland Garros,Clay,QF,3,28,(3)Federer d. (24)Stan Wawrinka [SUI],7-6(4) 4-6 7-6(5) 6-4,1.25,3.40%,1.30%,63.10%,77.70%,58.20%,3/5,03:35
27-May-19,Roland Garros,Clay,R16,3,68,(3)Federer d. Leonardo Mayer [ARG],6-2 6-3 6-3,2.09,5.70%,0.00%,67.10%,83.00%,69.60%,0/0,01:42
27-May-19,Roland Garros,Clay,R32,3,63,(3)Federer d. Casper Ruud [NOR],6-3 6-1 7-6(8),1.42,11.30%,3.10%,61.90%,80.00%,51.40%,4/5,02:11
27-May-19,Roland Garros,Clay,R64,3,144,(3)Federer d. (LL)Oscar Otte [GER],6-4 6-3 6-4,1.47,6.10%,0.00%,75.60%,75.80%,75.00%,4/4,01:36
27-May-19,Roland Garros,Clay,R128,3,74,(3)Federer d. Lorenzo Sonego [ITA],6-2 6-4 6-4,2.08,7.10%,2.90%,74.30%,84.60%,61.10%,3/4,01:41
13-May-19,Rome Masters,Clay,QF,3,7,(8)Stefanos Tsitsipas [GRE] d. (3)Federer,W/O,,,,,,,,
13-May-19,Rome Masters,Clay,R16,3,15,(3)Federer d. (13)Borna Coric [CRO],2-6 6-4 7-6(7),0.78,8.30%,1.80%,56.90%,62.90%,59.60%,5/8,02:31
13-May-19,Rome Masters,Clay,R32,3,72,(3)Federer d. Joao Sousa [POR],6-4 6-3,1.7,5.50%,1.80%,56.40%,77.40%,70.80%,7/7,01:20
06-May-19,Madrid Masters,Clay,QF,3,5,(5)Dominic Thiem [AUT] d. (4)Federer,3-6 7-6(11) 6-4,0.9,5.70%,2.80%,71.70%,78.90%,46.70%,10/12,02:10
06-May-19,Madrid Masters,Clay,R16,3,18,(4)Federer d. (15)Gael Monfils [FRA],6-0 4-6 7-6(3),1.42,4.80%,2.40%,58.30%,75.50%,60.00%,5/8,02:00
06-May-19,Madrid Masters,Clay,R32,3,39,(4)Federer d. Richard Gasquet [FRA],6-2 6-3,1.46,13.70%,2.00%,52.90%,77.80%,66.70%,0/0,00:52
18-Mar-19,Miami Masters,Hard,F,5,9,(4)Federer d. (7)John Isner [USA],6-1 6-4,5.06,17.10%,2.90%,57.10%,100.00%,80.00%,0/0,01:03
18-Mar-19,Miami Masters,Hard,SF,5,23,(4)Federer d. (20)Denis Shapovalov [CAN],6-2 6-4,2.52,4.40%,2.20%,48.90%,90.90%,73.90%,2/2,01:12
18-Mar-19,Miami Masters,Hard,QF,5,7,(4)Federer d. (6)Kevin Anderson [RSA],6-0 6-4,1.68,7.10%,4.80%,59.50%,80.00%,52.90%,0/1,01:25
18-Mar-19,Miami Masters,Hard,R16,5,15,(4)Federer d. (13)Daniil Medvedev [RUS],6-4 6-2,1.71,10.40%,0.00%,68.80%,84.80%,60.00%,3/3,01:01
18-Mar-19,Miami Masters,Hard,R32,5,103,(4)Federer d. Filip Krajinovic [SRB],7-5 6-3,1.44,23.70%,1.70%,72.90%,74.40%,56.30%,1/2,01:30
18-Mar-19,Miami Masters,Hard,R64,5,46,(4)Federer d. (Q)Radu Albot [MDA],4-6 7-5 6-3,1.39,15.40%,2.20%,61.50%,76.80%,68.60%,3/4,02:08
04-Mar-19,Indian Wells Masters,Hard,F,4,8,(7)Dominic Thiem [AUT] d. (4)Federer,3-6 6-3 7-5,0.92,3.60%,2.40%,70.20%,71.20%,48.00%,1/4,02:02
04-Mar-19,Indian Wells Masters,Hard,SF,4,2,(4)Federer d. (2)Rafael Nadal [ESP],W/O,,,,,,,,
04-Mar-19,Indian Wells Masters,Hard,QF,4,67,(4)Federer d. Hubert Hurkacz [POL],6-4 6-4,1.39,6.80%,5.10%,54.20%,84.40%,59.30%,2/2,01:13
04-Mar-19,Indian Wells Masters,Hard,R16,4,23,(4)Federer d. (22)Kyle Edmund [GBR],6-1 6-4,1.36,9.20%,0.00%,66.20%,79.10%,50.00%,7/7,01:03
04-Mar-19,Indian Wells Masters,Hard,R32,4,40,(4)Federer d. Stan Wawrinka [SUI],6-3 6-4,1.86,8.00%,0.00%,68.00%,82.40%,75.00%,0/0,00:59
04-Mar-19,Indian Wells Masters,Hard,R64,4,85,(4)Federer d. Peter Gojowczyk [GER],6-1 7-5,1.62,3.40%,10.30%,55.20%,81.30%,57.70%,6/7,01:17
25-Feb-19,Dubai,Hard,F,7,11,(2)Federer d. (5)Stefanos Tsitsipas [GRE],6-4 6-4,1.61,10.90%,0.00%,76.40%,83.30%,61.50%,1/2,01:09
25-Feb-19,Dubai,Hard,SF,7,13,(2)Federer d. (6)Borna Coric [CRO],6-2 6-2,2.03,15.90%,2.30%,56.80%,80.00%,68.40%,0/0,01:07
25-Feb-19,Dubai,Hard,QF,7,35,(2)Federer d. Marton Fucsovics [HUN],7-6(6) 6-4,1.04,2.50%,2.50%,62.50%,76.00%,43.30%,2/3,01:56
25-Feb-19,Dubai,Hard,R16,7,32,(2)Federer d. Fernando Verdasco [ESP],6-3 3-6 6-3,1.17,12.80%,2.60%,70.50%,78.20%,65.20%,2/3,01:34
25-Feb-19,Dubai,Hard,R32,7,31,(2)Federer d. Philipp Kohlschreiber [GER],6-4 3-6 6-1,1.51,10.40%,4.50%,71.60%,79.20%,57.90%,1/3,01:35
14-Jan-19,Australian Open,Hard,R16,3,15,(14)Stefanos Tsitsipas [GRE] d. (3)Federer,6-7(11) 7-6(3) 7-5 7-6(5),1.03,7.70%,0.00%,67.30%,79.00%,60.80%,2/3,03:45
14-Jan-19,Australian Open,Hard,R32,3,50,(3)Federer d. Taylor Fritz [USA],6-2 7-5 6-2,2.07,14.30%,4.30%,61.40%,93.00%,63.00%,0/0,01:28
14-Jan-19,Australian Open,Hard,R64,3,189,(3)Federer d. (Q)Daniel Evans [GBR],7-6(5) 7-6(3) 6-3,1.61,11.10%,1.00%,62.60%,83.90%,64.90%,2/3,02:35
14-Jan-19,Australian Open,Hard,R128,3,101,(3)Federer d. Denis Istomin [UZB],6-3 6-4 6-4,1.57,17.10%,2.40%,56.10%,82.60%,66.70%,0/0,01:57
12-Nov-18,Tour Finals,Hard,SF,3,5,(3)Alexander Zverev [GER] d. (2)Federer,7-5 7-6(5),0.68,4.60%,0.00%,56.90%,78.40%,60.70%,0/2,01:35
12-Nov-18,Tour Finals,Hard,RR,3,9,(7)Kei Nishikori [JPN] d. (2)Federer,7-6(4) 6-3,0.92,7.10%,7.10%,57.10%,78.10%,54.20%,0/2,01:27
12-Nov-18,Tour Finals,Hard,RR,3,8,(2)Federer d. (6)Dominic Thiem [AUT],6-2 6-3,2.97,10.50%,0.00%,57.90%,86.40%,81.30%,0/0,01:06
12-Nov-18,Tour Finals,Hard,RR,3,6,(2)Federer d. (4)Kevin Anderson [RSA],6-4 6-3,1.62,6.00%,2.00%,58.00%,79.30%,61.90%,3/4,01:17
29-Oct-18,Paris Masters,Hard,SF,3,2,(2)Novak Djokovic [SRB] d. (3)Federer,7-6(6) 5-7 7-6(3),0.79,12.20%,1.40%,66.90%,74.20%,54.30%,12/12,03:02
29-Oct-18,Paris Masters,Hard,QF,3,11,(3)Federer d. (10)Kei Nishikori [JPN],6-4 6-4,1.93,12.50%,3.60%,51.80%,96.60%,59.30%,1/1,01:19
29-Oct-18,Paris Masters,Hard,R16,3,14,(3)Federer d. (13)Fabio Fognini [ITA],6-4 6-3,1.57,14.80%,3.70%,50.00%,81.50%,59.30%,4/5,01:13
29-Oct-18,Paris Masters,Hard,R32,3,21,(3)Federer d. Milos Raonic [CAN],W/O,,,,,,,,
22-Oct-18,Basel,Hard,F,3,93,(1)Federer d. (Q)Marius Copil [ROU],7-6(5) 6-4,1.6,9.20%,4.60%,52.30%,94.10%,54.80%,3/5,01:34
22-Oct-18,Basel,Hard,SF,3,20,(1)Federer d. (7)Daniil Medvedev [RUS],6-1 6-4,1.52,10.90%,9.10%,54.50%,86.70%,40.00%,2/3,01:04
22-Oct-18,Basel,Hard,QF,3,32,(1)Federer d. Gilles Simon [FRA],7-6(1) 4-6 6-4,1.1,13.60%,3.60%,59.10%,70.80%,44.40%,5/10,02:34
22-Oct-18,Basel,Hard,R16,3,52,(1)Federer d. Jan Lennard Struff [GER],6-3 7-5,1.44,11.70%,8.30%,53.30%,78.10%,64.30%,0/1,01:07
22-Oct-18,Basel,Hard,R32,3,35,(1)Federer d. Filip Krajinovic [SRB],6-2 4-6 6-4,1.13,10.80%,6.50%,47.30%,70.50%,49.00%,1/10,02:09
08-Oct-18,Shanghai Masters,Hard,SF,2,19,(13)Borna Coric [CRO] d. (1)Federer,6-4 6-4,0.53,13.10%,0.00%,67.20%,73.20%,50.00%,5/7,01:13
08-Oct-18,Shanghai Masters,Hard,QF,2,12,(1)Federer d. (8)Kei Nishikori [JPN],6-4 7-6(4),1.11,11.90%,1.20%,71.40%,65.00%,54.20%,4/6,01:51
08-Oct-18,Shanghai Masters,Hard,R16,2,28,(1)Federer d. Roberto Bautista Agut [ESP],6-3 2-6 6-4,1.09,9.90%,1.20%,66.70%,68.50%,63.00%,2/5,01:52
08-Oct-18,Shanghai Masters,Hard,R32,2,22,(1)Federer d. Daniil Medvedev [RUS],6-4 4-6 6-4,1.26,11.60%,0.00%,70.90%,82.00%,36.00%,1/3,
27-Aug-18,US Open,Hard,R16,2,55,John Millman [AUS] d. (2)Federer,3-6 7-5 7-6(7) 7-6(3),0.84,7.50%,5.80%,48.60%,81.00%,47.20%,8/11,03:35
27-Aug-18,US Open,Hard,R32,2,30,(2)Federer d. (30)Nick Kyrgios [AUS],6-4 6-1 7-5,1.47,17.40%,1.10%,66.30%,86.90%,48.40%,4/4,01:44
27-Aug-18,US Open,Hard,R64,2,56,(2)Federer d. Benoit Paire [FRA],7-5 6-4 6-4,1.41,5.30%,5.30%,57.90%,74.50%,62.50%,4/6,01:57
27-Aug-18,US Open,Hard,R128,2,177,(2)Federer d. Yoshihito Nishioka [JPN],6-2 6-2 6-4,1.55,17.10%,3.70%,67.10%,78.20%,48.10%,8/9,01:52
13-Aug-18,Cincinnati Masters,Hard,F,2,10,(10)Novak Djokovic [SRB] d. (2)Federer,6-4 6-4,0.64,14.30%,5.20%,58.40%,66.70%,46.90%,3/6,01:24
13-Aug-18,Cincinnati Masters,Hard,SF,2,11,(2)Federer d. (11)David Goffin [BEL],7-6(3) 1-1 RET,1.25,20.00%,4.40%,71.10%,75.00%,69.20%,0/0,01:02
13-Aug-18,Cincinnati Masters,Hard,QF,2,151,(2)Federer d. (WC)Stan Wawrinka [SUI],6-7(2) 7-6(6) 6-2,1.71,7.80%,1.10%,55.60%,84.00%,75.00%,0/0,02:16
13-Aug-18,Cincinnati Masters,Hard,R16,2,50,(2)Federer d. Leonardo Mayer [ARG],6-1 7-6(6),2.32,18.50%,1.90%,70.40%,89.50%,68.80%,0/0,01:12
13-Aug-18,Cincinnati Masters,Hard,R32,2,47,(2)Federer d. Peter Gojowczyk [GER],6-4 6-4,1.52,19.70%,6.60%,63.90%,79.50%,68.20%,5/5,01:12
02-Jul-18,Wimbledon,Grass,QF,2,8,(8)Kevin Anderson [RSA] d. (1)Federer,2-6 6-7(5) 7-5 6-4 13-11,1.17,9.60%,0.60%,69.50%,78.90%,59.30%,3/7,04:14
02-Jul-18,Wimbledon,Grass,R16,2,26,(1)Federer d. (22)Adrian Mannarino [FRA],6-0 7-5 6-4,2.1,17.10%,0.00%,67.10%,90.20%,52.00%,4/4,01:45
02-Jul-18,Wimbledon,Grass,R32,2,64,(1)Federer d. Jan Lennard Struff [GER],6-3 7-5 6-2,2.22,13.50%,2.70%,54.10%,92.50%,67.60%,0/0,01:34
02-Jul-18,Wimbledon,Grass,R64,2,73,(1)Federer d. Lukas Lacko [SVK],6-4 6-4 6-1,2.94,26.20%,0.00%,70.50%,93.00%,66.70%,0/0,01:30
02-Jul-18,Wimbledon,Grass,R128,2,58,(1)Federer d. Dusan Lajovic [SRB],6-1 6-3 6-4,2.66,12.70%,1.60%,71.40%,91.10%,61.10%,0/0,01:19
18-Jun-18,Halle,Grass,F,1,34,Borna Coric [CRO] d. (1)Federer,7-6(6) 3-6 6-2,1.25,13.60%,1.10%,70.50%,87.10%,42.30%,1/3,02:06
18-Jun-18,Halle,Grass,SF,1,109,(1)Federer d. (Q)Denis Kudla [USA],7-6(1) 7-5,1.22,16.00%,4.00%,66.70%,84.00%,52.00%,6/7,01:27
18-Jun-18,Halle,Grass,QF,1,60,(1)Federer d. (SE)Matthew Ebden [AUS],7-6(2) 7-5,1.66,9.20%,0.00%,55.40%,83.30%,65.50%,2/4,01:28
18-Jun-18,Halle,Grass,R16,1,48,(1)Federer d. Benoit Paire [FRA],6-3 3-6 7-6(7),1.21,7.80%,0.00%,63.30%,73.70%,60.60%,3/5,01:58
18-Jun-18,Halle,Grass,R32,1,72,(1)Federer d. Aljaz Bedene [SLO],6-3 6-4,2.54,14.30%,0.00%,69.40%,88.20%,73.30%,0/0,01:11
11-Jun-18,Stuttgart,Grass,F,2,35,(1)Federer d. (7)Milos Raonic [CAN],6-4 7-6(3),1.23,6.10%,0.00%,66.70%,86.40%,59.10%,2/2,01:18
11-Jun-18,Stuttgart,Grass,SF,2,24,(1)Federer d. (4)Nick Kyrgios [AUS],6-7(2) 6-2 7-6(5),1.82,14.00%,2.30%,62.80%,85.20%,75.00%,0/0,01:51
11-Jun-18,Stuttgart,Grass,QF,2,75,(1)Federer d. Guido Pella [ARG],6-4 6-4,1.56,7.10%,0.00%,62.50%,82.90%,71.40%,2/2,01:05
11-Jun-18,Stuttgart,Grass,R16,2,54,(1)Federer d. Mischa Zverev [GER],3-6 6-4 6-2,1.28,7.00%,1.40%,67.60%,75.00%,56.50%,3/5,01:33
19-Mar-18,Miami Masters,Hard,R64,1,175,(Q)Thanasi Kokkinakis [AUS] d. (1)Federer,3-6 6-3 7-6(4),1.23,10.70%,3.60%,65.50%,81.80%,55.20%,2/3,02:21
05-Mar-18,Indian Wells Masters,Hard,F,1,8,(6)Juan Martin Del Potro [ARG] d. (1)Federer,6-4 6-7(8) 7-6(2),0.82,8.70%,4.30%,60.90%,74.30%,53.30%,3/5,02:42
05-Mar-18,Indian Wells Masters,Hard,SF,1,49,(1)Federer d. Borna Coric [CRO],5-7 6-4 6-4,1.18,5.70%,1.10%,60.20%,67.90%,60.00%,2/6,02:20
05-Mar-18,Indian Wells Masters,Hard,QF,1,26,(1)Federer d. (23)Hyeon Chung [KOR],7-5 6-1,1.34,17.40%,1.40%,66.70%,69.60%,56.50%,5/6,01:22
05-Mar-18,Indian Wells Masters,Hard,R16,1,100,(1)Federer d. Jeremy Chardy [FRA],7-5 6-4,3.89,4.10%,0.00%,51.00%,100.00%,79.20%,0/0,01:22
05-Mar-18,Indian Wells Masters,Hard,R32,1,28,(1)Federer d. (25)Filip Krajinovic [SRB],6-2 6-1,2.47,14.30%,2.40%,64.30%,88.90%,53.30%,2/3,00:58
05-Mar-18,Indian Wells Masters,Hard,R64,1,67,(1)Federer d. Federico Delbonis [ARG],6-3 7-6(6),1.03,6.10%,1.20%,64.60%,73.60%,55.20%,1/3,01:41
12-Feb-18,Rotterdam,Hard,F,2,5,(1)Federer d. (2)Grigor Dimitrov [BUL],6-2 6-2,2.5,7.70%,0.00%,61.50%,83.30%,80.00%,0/0,00:55
12-Feb-18,Rotterdam,Hard,SF,2,81,(1)Federer d. (LL)Andreas Seppi [ITA],6-3 7-6(3),1.34,13.40%,3.00%,62.70%,76.20%,56.00%,2/3,01:24
12-Feb-18,Rotterdam,Hard,QF,2,42,(1)Federer d. Robin Haase [NED],4-6 6-1 6-1,1.8,9.80%,1.60%,57.40%,74.30%,73.10%,0/1,01:19
12-Feb-18,Rotterdam,Hard,R16,2,36,(1)Federer d. Philipp Kohlschreiber [GER],7-6(8) 7-5,1.78,16.20%,0.00%,67.60%,89.10%,63.60%,0/0,01:41
12-Feb-18,Rotterdam,Hard,R32,2,116,(1)Federer d. (Q)Ruben Bemelmans [BEL],6-1 6-2,4.89,16.70%,0.00%,63.90%,91.30%,84.60%,0/0,00:47
15-Jan-18,Australian Open,Hard,F,2,6,(2)Federer d. (6)Marin Cilic [CRO],6-2 6-7(5) 6-3 3-6 6-1,1.31,17.30%,2.90%,60.40%,79.80%,58.20%,7/9,03:03
15-Jan-18,Australian Open,Hard,SF,2,58,(2)Federer d. Hyeon Chung [KOR],6-1 5-2 RET,2.69,24.30%,2.70%,43.20%,93.80%,71.40%,1/1,01:02
15-Jan-18,Australian Open,Hard,QF,2,20,(2)Federer d. (19)Tomas Berdych [CZE],7-6(1) 6-3 6-4,1.36,15.60%,5.20%,62.50%,83.30%,52.80%,3/5,02:14
15-Jan-18,Australian Open,Hard,R16,2,80,(2)Federer d. Marton Fucsovics [HUN],6-4 7-6(3) 6-2,2.02,7.40%,2.50%,59.30%,83.30%,75.80%,0/0,02:01
15-Jan-18,Australian Open,Hard,R32,2,31,(2)Federer d. (29)Richard Gasquet [FRA],6-2 7-5 6-4,1.25,12.80%,1.10%,64.90%,80.30%,42.40%,1/2,01:59
15-Jan-18,Australian Open,Hard,R64,2,55,(2)Federer d. Jan Lennard Struff [GER],6-4 6-4 7-6(4),1.52,18.50%,1.10%,57.60%,83.00%,66.70%,2/3,01:55
15-Jan-18,Australian Open,Hard,R128,2,51,(2)Federer d. Aljaz Bedene [SLO],6-3 6-4 6-3,1.51,14.80%,3.70%,71.60%,77.60%,60.90%,2/2,01:39
13-Nov-17,Tour Finals,Hard,SF,2,8,(7)David Goffin [BEL] d. (2)Federer,2-6 6-3 6-4,1.03,9.10%,3.90%,61.00%,74.50%,56.70%,1/3,01:45
